,chain,symbol,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit
0x38161e9efb8de52d00a1eb0f773223fd28fdd7c20002000000000000000005a0,arbitrum,ECLP-GHO-USDe-rh,187.33,98.0664,52.8050,0,0,0,-150.8715,0,2024-11-30 11:48:46+00:00
0xef0c116a2818a5b1a5d836a291856a321f43c2fb00020000000000000000053a,arbitrum,ECLP-WOETH-WETH,162.19,84.9058,45.7185,0,0,0,-130.6242,0,2024-11-30 19:41:26+00:00
0x125bc5a031b2db6733bfa35d914ffa428095978b000200000000000000000514,arbitrum,ECLP-AUSDC-AUSDT,131.67,68.9287,37.1154,0,0,0,-106.0441,0,2024-11-30 12:10:39+00:00
0x46472cba35e6800012aa9fcc7939ff07478c473e00020000000000000000056c,arbitrum,ECLP-GHO-AUSDC,69.05,36.1474,19.4640,0,0,0,-55.6113,0,2024-11-28 18:12:18+00:00
0x6e822c64c00393b2078f2a5bb75c575ab505b55c000200000000000000000548,arbitrum,ECLP-GYD-AUSDC,64.77,33.9068,18.2575,0,0,0,-52.1643,0,2024-11-30 19:10:45+00:00
0x7272163a931dac5bbe1cb5fefaf959bb65f7346f000200000000000000000549,arbitrum,ECLP-GYD-AUSDT,37.23,19.4897,10.4945,0,0,0,-29.9842,0,2024-12-01 00:10:44+00:00
0xdeeaf8b0a8cf26217261b813e085418c7dd8f1ee00020000000000000000058f,arbitrum,ECLP-sUSDe-GYD,30.00,15.7049,8.4565,0,0,0,-24.1613,0,2024-11-30 14:40:27+00:00
0xa899c63ba9ff275d6bfc83e43ee8e58ff6987584000200000000000000000594,arbitrum,ECLP-rETH-wstETH,14.23,7.4493,4.0112,0,0,0,-11.4605,0,2024-11-27 21:47:16+00:00
0x14abd18d1fa335e9f630a658a2799b33208763fa00020000000000000000051f,arbitrum,2CLP-AUSDT-USDT,12.09,6.3291,3.4080,0,0,0,-9.7370,0,2024-12-01 00:51:05+00:00
0xca8ecd05a289b1fbc2e0eaec07360c4bfec07b6100020000000000000000051d,arbitrum,2CLP-AUSDC-USDC,10.87,5.6904,3.0641,0,0,0,-8.7545,0,2024-11-30 13:40:27+00:00
