,chain,symbol,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit
0xb61371ab661b1acec81c699854d2f911070c059e000000000000000000000516,arbitrum,ezETH/wstETH,3815.93,1465.5445,789.1394,2601.3737,2125.4027,475.9710,346.6898,0,2024-11-10 19:27:35+00:00
0xc2598280bfea1fe18dfcabd21c7165c40c6859d30000000000000000000004f3,arbitrum,wstETH/sfrxETH,2779.37,1067.4437,574.7774,1894.7360,1649.9325,244.8036,252.5149,0,2024-11-10 17:51:15+00:00
0x7b54c44fbe6db6d97fd22b8756f89c0af16202cc00000000000000000000053c,arbitrum,ETHx/wstETH,1628.99,625.6292,336.8773,1110.5054,1110.5053,0.0000,147.9989,0,2024-11-10 18:30:02+00:00
0x2ce4457acac29da4736ae6f5cd9f583a6b335c270000000000000000000004dc,arbitrum,sFRAX/4POOL,1523.63,585.1647,315.0887,1038.6800,1038.6801,0.0000,138.4266,0,2024-11-08 03:17:58+00:00
0x7967fa58b9501600d96bd843173b9334983ee6e600020000000000000000056e,arbitrum,ECLP-wstETH-WETH,1420.03,545.3762,293.6641,968.0547,0,968.0545,129.0145,0,2024-11-11 00:10:58+00:00
0x9791d590788598535278552eecd4b211bfc790cb000000000000000000000498,arbitrum,wstETH-WETH-BPT,1332.73,511.8478,275.6103,908.5408,0,908.5406,121.0827,0,2024-11-10 18:00:58+00:00
0x2d6ced12420a9af5a83765a8c48be2afcd1a8feb000000000000000000000500,arbitrum,cbETH/rETH/wstETH,1192.67,458.0564,246.6457,813.0602,0,813.0600,108.3581,0,2024-11-11 03:17:58+00:00
0xd0ec47c54ca5e20aaae4616c25c825c7f48d40690000000000000000000004ef,arbitrum,rETH/wETH BPT,960.20,368.7740,198.5706,654.5821,0,654.5820,87.2374,0,2024-11-11 01:34:05+00:00
0xf13758d6edd1937dcb3f4fe75889b579d400299a000000000000000000000595,arbitrum,weETH/wETH,783.15,300.7763,161.9565,0,0,0,-462.7327,0,2024-11-03 20:56:31+00:00
0x423a1323c871abc9d89eb06855bf5347048fc4a5000000000000000000000496,arbitrum,4POOL-BPT,619.82,238.0478,128.1796,0,0,0,-366.2274,0,2024-11-10 19:55:28+00:00
0x59743f1812bb85db83e9e4ee061d124aaa64290000000000000000000000052b,arbitrum,sUSDe/sFRAX,471.82,181.2070,97.5730,0,0,0,-278.7800,0,2024-11-09 04:25:56+00:00
0x90e6cb5249f5e1572afbf8a96d8a1ca6acffd73900000000000000000000055c,arbitrum,rsETH/wETH,450.64,173.0726,93.1929,0,0,0,-266.2656,0,2024-11-11 03:36:59+00:00
0x3fd4954a851ead144c2ff72b1f5a38ea5976bd54000000000000000000000480,arbitrum,ankrETH/wstETH-BPT,450.51,173.0227,93.1661,0,0,0,-266.1888,0,2024-11-11 04:26:25+00:00
0x8d58755ca11d2c7273fed72aeb637e38a66c228c00000000000000000000058c,arbitrum,sUSX/USDC,356.97,137.0978,73.8219,0,0,0,-210.9196,0,2024-11-09 14:22:21+00:00
0x125bc5a031b2db6733bfa35d914ffa428095978b000200000000000000000514,arbitrum,ECLP-AUSDC-AUSDT,269.52,103.5117,55.7371,0,0,0,-159.2488,0,2024-11-11 02:28:38+00:00
0xa899c63ba9ff275d6bfc83e43ee8e58ff6987584000200000000000000000594,arbitrum,ECLP-rETH-wstETH,255.87,98.2693,52.9143,0,0,0,-151.1836,0,2024-11-10 21:00:13+00:00
0xef0c116a2818a5b1a5d836a291856a321f43c2fb00020000000000000000053a,arbitrum,ECLP-WOETH-WETH,242.32,93.0653,50.1121,0,0,0,-143.1774,0,2024-11-10 12:40:58+00:00
0x38161e9efb8de52d00a1eb0f773223fd28fdd7c20002000000000000000005a0,arbitrum,ECLP-GHO-USDe-rh,207.42,79.6616,42.8947,0,0,0,-122.5564,0,2024-11-11 02:48:43+00:00
0xdfa752ca3ff49d4b6dbe08e2d5a111f51773d3950000000000000000000004e8,arbitrum,sFRAX/FRAX,116.02,44.5586,23.9931,0,0,0,-68.5517,0,2024-11-10 01:05:16+00:00
0x7272163a931dac5bbe1cb5fefaf959bb65f7346f000200000000000000000549,arbitrum,ECLP-GYD-AUSDT,44.16,16.9601,9.1323,0,0,0,-26.0924,0,2024-11-10 16:14:06+00:00
0x6e822c64c00393b2078f2a5bb75c575ab505b55c000200000000000000000548,arbitrum,ECLP-GYD-AUSDC,39.73,15.2587,8.2162,0,0,0,-23.4749,0,2024-11-10 10:07:44+00:00
0xdeeaf8b0a8cf26217261b813e085418c7dd8f1ee00020000000000000000058f,arbitrum,ECLP-sUSDe-GYD,32.08,12.3206,6.6342,0,0,0,-18.9548,0,2024-11-10 11:00:21+00:00
0x5b89dc91e5a4dc6d4ab0d970af6a7f981971a443000000000000000000000572,arbitrum,instETH/wstETH,31.08,11.9366,6.4274,0,0,0,-18.3640,0,2024-11-07 23:12:43+00:00
0x6ce1d1e46548ef657f8d7ebddfc4beadb04f72f30002000000000000000005a1,arbitrum,ECLP-wstETH-GYD,9.95,3.8214,2.0577,0,0,0,-5.8791,0,2024-11-10 15:58:03+00:00
0xca8ecd05a289b1fbc2e0eaec07360c4bfec07b6100020000000000000000051d,arbitrum,2CLP-AUSDC-USDC,6.94,2.6654,1.4352,0,0,0,-4.1006,0,2024-11-10 15:10:51+00:00
0x14abd18d1fa335e9f630a658a2799b33208763fa00020000000000000000051f,arbitrum,2CLP-AUSDT-USDT,5.60,2.1507,1.1581,0,0,0,-3.3088,0,2024-11-11 01:11:00+00:00
0xff38cc0ce0de4476c5a3e78675b48420a851035b000200000000000000000593,arbitrum,ECLP-GHO-GYD-rh,4.23,1.6246,0.8748,0,0,0,-2.4993,0,2024-11-10 06:40:33+00:00
0x46472cba35e6800012aa9fcc7939ff07478c473e00020000000000000000056c,arbitrum,ECLP-GHO-AUSDC,0.00,0.0000,0.0000,0,0,0,0.0000,0,2024-11-10 04:12:05+00:00
0x9f8ed1acfe0c863381b9081aff2144fc867aa7730002000000000000000004d4,arbitrum,50ANKR/50ankrETH,0.00,0.0000,0.0000,0,0,0,0.0000,0,2024-10-02 23:13:03+00:00
