,chain,symbol,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit
0xcd78a20c597e367a4e478a2411ceb790604d7c8f000000000000000000000c22,polygon,maticX-WMATIC-BPT,6046.64,15993.6801,8611.9816,24637.1457,17296.8852,7340.2605,31.4840,0,2024-12-18 20:01:54+00:00
0xf0ad209e2e969eaaa8c882aac71f02d8a047d5c2000200000000000000000b49,polygon,ECLP-WMATIC-stMATIC,174.33,461.1120,248.2911,710.3108,0,710.3108,0.9077,0,2024-12-19 01:40:15+00:00
0xa8cbbffe0d62797afaf7af0a23810bd5ba39a4dd000200000000000000000f04,polygon,ECLP-GYD-AUSDT,7.96,21.0546,11.3371,0,0,0,-32.3917,0,2024-12-16 19:33:00+00:00
0x36be1e97ea98ab43b4debf92742517266f5731a3000200000000000000000466,mainnet,50wstETH-50ACX,202503.33,56956.0105,30668.6211,88014.5896,60524.7009,27489.8889,389.9580,0,2024-12-18 07:14:59+00:00
0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd0000000000000000000005c2,mainnet,wstETH-WETH-BPT,47013.16,13222.9037,7120.0251,20433.4616,14407.9228,6025.5385,90.5328,0,2024-12-18 14:37:35+00:00
0x596192bb6e41802428ac943d2f1476c1af25cc0e000000000000000000000659,mainnet,ezETH-WETH-BPT,25317.43,7120.7709,3834.2612,11003.7856,7973.1935,3030.5921,48.7535,0,2024-12-19 02:00:59+00:00
0x41fdbea2e52790c0a1dc374f07b628741f2e062d0002000000000000000006be,mainnet,ECLP-stdeUSD-deUSD,14652.50,4121.1566,2219.0843,6368.4571,4810.0855,1558.3715,28.2161,0,2024-12-18 22:54:23+00:00
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,mainnet,B-rETH-STABLE,11188.33,3146.8255,1694.4445,4862.8153,0,4862.8152,21.5453,0,2024-12-18 10:52:11+00:00
0x8353157092ed8be69a9df8f95af097bbf33cb2af0000000000000000000005d9,mainnet,GHO/USDT/USDC,8492.96,2388.7267,1286.2375,3691.3191,2983.2295,708.0894,16.3549,0,2024-12-17 21:03:47+00:00
0x05ff47afada98a98982113758878f9a8b9fdda0a000000000000000000000645,mainnet,weETH/rETH,8185.81,2302.3378,1239.7204,3557.8215,2892.1322,665.6894,15.7633,0,2024-12-18 14:21:35+00:00
0x3ff3a210e57cfe679d9ad1e9ba6453a716c56a2e0002000000000000000005d5,mainnet,STG/USDC,8088.05,2274.8419,1224.9149,3515.3319,2863.1375,652.1942,15.5751,0,2024-12-17 07:04:35+00:00
0xb819feef8f0fcdc268afe14162983a69f6bf179e000000000000000000000689,mainnet,sUSDe/USDC,7437.98,2092.0035,1126.4634,3232.7901,2670.3335,562.4566,14.3232,0,2024-12-17 07:34:35+00:00
0xf16aee6a71af1a9bc8f56975a4c2705ca7a782bc0002000000000000000004bb,mainnet,20WETH-80ALCX,5183.10,1457.7968,784.9675,2252.7452,2001.5591,251.1859,9.9810,0,2024-12-18 07:23:35+00:00
0x42ed016f826165c2e5976fe5bc3df540c5ad0af700000000000000000000058b,mainnet,wstETH-rETH-sfrxETH-BPT,5102.88,1435.2341,772.8184,2217.8791,1977.7669,240.1122,9.8266,0,2024-12-14 22:53:47+00:00
0x63e0d47a6964ad1565345da9bfa66659f4983f02000000000000000000000681,mainnet,pufETH/wstETH,3856.62,1084.7115,584.0754,1676.2136,1676.2134,0,7.4267,0,2024-12-14 21:41:11+00:00
0x848a5564158d84b8a8fb68ab5d004fae11619a5400000000000000000000066a,mainnet,weETH/ezETH/rswETH,3675.51,1033.7726,556.6468,1597.4971,1597.4972,0,7.0778,0,2024-12-18 08:48:47+00:00
0x49cbd67651fbabce12d1df18499896ec87bef46f00000000000000000000064a,mainnet,sDAI/3Pool,1804.49,507.5302,273.2855,784.2906,0,784.2907,3.4749,0,2024-12-10 16:50:47+00:00
0xb91159aa527d4769cb9faf3e4adb760c7e8c8ea700000000000000000000067c,mainnet,ETHx/wstETH,1546.37,434.9314,234.1939,672.1033,0,672.1030,2.9780,0,2024-12-18 11:31:47+00:00
0xcf7b51ce5755513d4be016b0e28d6edeffa1d52a000200000000000000000617,mainnet,RDNT-WETH,1546.33,434.9202,234.1878,672.0857,0,672.0857,2.9777,0,2024-12-18 19:30:23+00:00
0x740a691bd31c4176bcb6b8a7a40f1a723537d99d0000000000000000000006b6,mainnet,cdcETH/wstETH,1360.57,382.6734,206.0549,591.3483,0,591.3484,2.6200,0,2024-12-10 21:50:11+00:00
0xdfe6e7e18f6cc65fa13c8d8966013d4fda74b6ba000000000000000000000558,mainnet,ankrETH/wstETH,1339.68,376.7979,202.8912,582.2689,0,582.2688,2.5798,0,2024-12-17 08:44:47+00:00
0x1d13531bf6344c102280ce4c458781fbf14dad140000000000000000000006df,mainnet,tETH/wstETH,556.61,156.5519,84.2972,0,0,0,-240.8491,0,2024-12-17 13:14:11+00:00
0x4216d5900a6109bba48418b5e2ab6cc4e61cf4770000000000000000000006a1,mainnet,trenSTETH,446.45,125.5684,67.6137,0,0,0,-193.1821,0,2024-12-17 05:48:35+00:00
0x9f9d900462492d4c21e9523ca95a7cd86142f298000200000000000000000462,mainnet,50rETH-50RPL,293.47,82.5413,44.4453,0,0,0,-126.9866,0,2024-12-19 01:52:11+00:00
0x1cce5169bde03f3d5ad0206f6bd057953539dae600020000000000000000062b,mainnet,ECLP-GYD-sDAI,84.31,23.7130,12.7685,0,0,0,-36.4815,0,2024-12-08 08:06:35+00:00
0x8d93b853849b9884e2bb413444ec23eb5366ee910002000000000000000006b3,mainnet,ECLP-sUSDe-GYD,79.73,22.4248,12.0749,0,0,0,-34.4997,0,2024-12-14 15:21:59+00:00
0xe7e2c68d3b13d905bbb636709cf4dfd21076b9d20000000000000000000005ca,mainnet,swETH-WETH-BPT,73.54,20.6838,11.1374,0,0,0,-31.8213,0,2024-12-14 23:18:47+00:00
0xc683955059e98350de4e5dc1c75971bd640829bb0002000000000000000006e1,mainnet,ECLP-cbETH-wstETH,38.92,10.9466,5.8943,0,0,0,-16.8410,0,2024-12-16 22:28:11+00:00
0x8296057edb832feac03269e9fce8304ebcbabcaf00000000000000000000069c,mainnet,B-baoETH-wstETH-BPT,21.50,6.0471,3.2561,0,0,0,-9.3032,0,2024-12-15 05:38:35+00:00
0x40c806394d03d350420d13cd7d1de1c806f349560000000000000000000005f5,mainnet,qETH/WETH,0.00,0.0000,0.0000,0,0,0,0.0000,0,2024-10-12 07:25:47+00:00
0xabc7d08ef73fe3fb67efd900f4471cca788b089900000000000000000000069d,mainnet,B-baoETH-rETH-BPT,0.00,0.0000,0.0000,0,0,0,0.0000,0,2024-11-26 01:41:35+00:00
0xdd59f89b5b07b7844d72996fc9d83d81acc8219600000000000000000000059e,mainnet,uniETH-WETH,0.00,0.0000,0.0000,0,0,0,0.0000,0,2024-12-17 06:41:59+00:00
0xbad20c15a773bf03ab973302f61fabcea5101f0a000000000000000000000034,gnosis,bb-WETH-wstETH,7984.31,14676.8879,7902.9396,22579.8275,15408.2792,7171.5483,0,0,2024-12-15 12:42:30+00:00
0x4c42b5057a8663e2b1ac21685d1502c937a0381700020000000000000000019c,base,ECLP-WETH-USDC,6402.79,2870.4753,1545.6405,4543.5668,3100.4907,1443.0760,127.4510,0,2024-12-15 21:22:53+00:00
0xc771c1a5905420daec317b154eb13e4198ba97d0000000000000000000000023,base,rETH-WETH-BPT,5840.28,2618.2929,1409.8500,4144.3966,2828.1005,1316.2962,116.2537,0,2024-12-18 23:30:11+00:00
0xab99a3e856deb448ed99713dfce62f937e2d4d74000000000000000000000118,base,weETH/wETH,285.17,127.8464,68.8404,0,0,0,-196.6867,0,2024-12-18 13:51:41+00:00
0x54d86e177cdc664b5f9b17eb5fd6a76fa529e466000200000000000000000199,base,ECLP-cbETH-wstETH,57.97,25.9889,13.9940,0,0,0,-39.9829,0,2024-12-19 01:49:19+00:00
0x0c659734f1eef9c63b7ebdf78a164cdd745586db000000000000000000000046,base,USDC/USDbC/axlUSDC,10.20,4.5728,2.4623,0,0,0,-7.0351,0,2024-12-18 20:48:39+00:00
