,chain,symbol,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit
0xfd2620c9cfcec7d152467633b3b0ca338d3d78cc00000000000000000000001c,avalanche,sAVAX-WAVAX-BPT,3131.98,2693.9249,1450.5750,4144.4999,3410.1710,734.3289,0,0,2024-12-18 21:45:31+00:00
0xc13546b97b9b1b15372368dc06529d7191081f5b00000000000000000000001d,avalanche,ggAVAX-WAVAX-BPT,644.52,554.3741,298.5091,852.8832,0,852.8832,0,0,2024-12-17 18:08:07+00:00
0x32df62dc3aed2cd6224193052ce665dc181658410002000000000000000003bd,arbitrum,RDNT-WETH,18619.69,8093.0798,4357.8122,13322.7804,9406.9710,3915.8099,871.8884,0,2024-12-19 02:18:43+00:00
0xcdcef9765d369954a4a936064535710f7235110a000200000000000000000558,arbitrum,ECLP-weETH-wstETH,4356.11,1893.3906,1019.5180,3116.8884,2442.5583,674.3301,203.9798,0,2024-12-18 16:41:15+00:00
0xb61371ab661b1acec81c699854d2f911070c059e000000000000000000000516,arbitrum,ezETH/wstETH,3051.26,1326.2353,714.1267,2183.2407,1805.4451,377.7956,142.8787,0,2024-12-19 01:01:49+00:00
0xd0ec47c54ca5e20aaae4616c25c825c7f48d40690000000000000000000004ef,arbitrum,rETH/wETH BPT,2141.77,930.9240,501.2667,1532.4816,1361.3726,171.1090,100.2909,0,2024-12-18 13:04:29+00:00
0x9791d590788598535278552eecd4b211bfc790cb000000000000000000000498,arbitrum,wstETH-WETH-BPT,1663.58,723.0779,389.3496,1190.3264,1190.3266,0,77.8989,0,2024-12-18 22:00:41+00:00
0xab297f94235de777b85024ed1208ff43852385d90000000000000000000005bb,arbitrum,wUSDL/GHO,1520.38,660.8357,355.8346,1087.8641,1087.8641,0,71.1937,0,2024-12-09 10:28:23+00:00
0x7967fa58b9501600d96bd843173b9334983ee6e600020000000000000000056e,arbitrum,ECLP-wstETH-WETH,1493.49,649.1480,349.5412,1068.6235,1068.6236,0,69.9343,0,2024-12-18 19:16:03+00:00
0x2ce4457acac29da4736ae6f5cd9f583a6b335c270000000000000000000004dc,arbitrum,sFRAX/4POOL,1391.82,604.9569,325.7460,995.8766,0,995.8766,65.1736,0,2024-12-18 00:42:12+00:00
0xc2598280bfea1fe18dfcabd21c7165c40c6859d30000000000000000000004f3,arbitrum,wstETH/sfrxETH,1261.39,548.2653,295.2198,902.5511,0,902.5513,59.0660,0,2024-12-18 14:47:17+00:00
0x2d6ced12420a9af5a83765a8c48be2afcd1a8feb000000000000000000000500,arbitrum,cbETH/rETH/wstETH,995.22,432.5741,232.9245,712.1009,0,712.1008,46.6023,0,2024-12-10 03:50:46+00:00
0xf13758d6edd1937dcb3f4fe75889b579d400299a000000000000000000000595,arbitrum,weETH/wETH,876.45,380.9505,205.1272,627.1184,0,627.1186,41.0407,0,2024-12-16 20:14:15+00:00
0x90e6cb5249f5e1572afbf8a96d8a1ca6acffd73900000000000000000000055c,arbitrum,rsETH/wETH,723.57,314.5009,169.3467,0,0,0,-483.8476,0,2024-12-19 01:10:59+00:00
0x3fd4954a851ead144c2ff72b1f5a38ea5976bd54000000000000000000000480,arbitrum,ankrETH/wstETH-BPT,535.97,232.9603,125.4401,0,0,0,-358.4004,0,2024-12-11 14:25:03+00:00
0x7b54c44fbe6db6d97fd22b8756f89c0af16202cc00000000000000000000053c,arbitrum,ETHx/wstETH,383.19,166.5542,89.6830,0,0,0,-256.2372,0,2024-12-16 13:48:05+00:00
0x423a1323c871abc9d89eb06855bf5347048fc4a5000000000000000000000496,arbitrum,4POOL-BPT,317.41,137.9628,74.2877,0,0,0,-212.2505,0,2024-12-11 00:03:14+00:00
0x38161e9efb8de52d00a1eb0f773223fd28fdd7c20002000000000000000005a0,arbitrum,ECLP-GHO-USDe-rh,159.46,69.3096,37.3205,0,0,0,-106.6301,0,2024-12-17 03:10:18+00:00
0xef0c116a2818a5b1a5d836a291856a321f43c2fb00020000000000000000053a,arbitrum,ECLP-WOETH-WETH,142.50,61.9379,33.3512,0,0,0,-95.2890,0,2024-12-18 10:12:23+00:00
0x125bc5a031b2db6733bfa35d914ffa428095978b000200000000000000000514,arbitrum,ECLP-AUSDC-AUSDT,104.59,45.4602,24.4786,0,0,0,-69.9388,0,2024-12-17 08:43:22+00:00
0xdeeaf8b0a8cf26217261b813e085418c7dd8f1ee00020000000000000000058f,arbitrum,ECLP-sUSDe-GYD,82.68,35.9370,19.3507,0,0,0,-55.2877,0,2024-12-18 17:14:12+00:00
0x6e822c64c00393b2078f2a5bb75c575ab505b55c000200000000000000000548,arbitrum,ECLP-GYD-AUSDC,79.90,34.7287,18.7001,0,0,0,-53.4287,0,2024-12-18 21:14:27+00:00
0x46472cba35e6800012aa9fcc7939ff07478c473e00020000000000000000056c,arbitrum,ECLP-GHO-AUSDC,46.72,20.3069,10.9345,0,0,0,-31.2414,0,2024-12-18 18:30:50+00:00
0x7272163a931dac5bbe1cb5fefaf959bb65f7346f000200000000000000000549,arbitrum,ECLP-GYD-AUSDT,40.97,17.8077,9.5888,0,0,0,-27.3964,0,2024-12-18 12:07:40+00:00
0x8d58755ca11d2c7273fed72aeb637e38a66c228c00000000000000000000058c,arbitrum,sUSX/USDC,0.00,0.0000,0.0000,0,0,0,0.0000,0,2024-11-20 12:20:15+00:00
0xa899c63ba9ff275d6bfc83e43ee8e58ff6987584000200000000000000000594,arbitrum,ECLP-rETH-wstETH,0.00,0.0000,0.0000,0,0,0,0.0000,0,2024-12-02 14:05:25+00:00
0x9f8ed1acfe0c863381b9081aff2144fc867aa7730002000000000000000004d4,arbitrum,50ANKR/50ankrETH,0.00,0.0000,0.0000,0,0,0,0.0000,0,2024-10-02 23:13:03+00:00
