target,platform,amount
0x80A423a65a6a630943D9A34b8b78943af00c98cD,balancer,0
0x001EDF44D8aa79922dBE74f57C703EbCe2E13B43,aura,0
0x001EDF44D8aa79922dBE74f57C703EbCe2E13B43,balancer,0
0x253ED65fff980AEE7E94a0dC57BE304426048b35,aura,3365.7221
0x253ED65fff980AEE7E94a0dC57BE304426048b35,balancer,0
0x146b6030E6d6a6398B918E9854652a71C9537180,aura,0
0x146b6030E6d6a6398B918E9854652a71C9537180,balancer,0
0x5C0F23A5c1be65Fa710d385814a7Fd1Bda480b1C,aura,22060.7596
0x5C0F23A5c1be65Fa710d385814a7Fd1Bda480b1C,balancer,8503.9834
0x2C2179abce3413E27BDA6917f60ae37F96D01826,aura,0
0x2C2179abce3413E27BDA6917f60ae37F96D01826,balancer,0
0x80f129622dC60f5A7De85cBc98F7e3a99b09E57f,aura,0
0x80f129622dC60f5A7De85cBc98F7e3a99b09E57f,balancer,0
0x84f7F5cD2218f31B750E7009Bb6fD34e0b945DaC,aura,5381.8979
0x84f7F5cD2218f31B750E7009Bb6fD34e0b945DaC,balancer,697.7793
0xAC08fde28aa2D123B61a5dB3074cAF72760FfeEB,aura,1743.8263
0xAC08fde28aa2D123B61a5dB3074cAF72760FfeEB,balancer,0
0x5d0AA3B7F4429e999C95D392E6c50c6555cD7816,aura,0
0x5d0AA3B7F4429e999C95D392E6c50c6555cD7816,balancer,713.4326
0xe77D45b5dE97aC7717E4EdE6bE16E3D805fF02A5,aura,0
0xe77D45b5dE97aC7717E4EdE6bE16E3D805fF02A5,balancer,0
0xbf65b3fA6c208762eD74e82d4AEfCDDfd0323648,aura,1110.0508
0xbf65b3fA6c208762eD74e82d4AEfCDDfd0323648,balancer,0
0xee01c0d9c0439c94D314a6ecAE0490989750746C,aura,0
0xee01c0d9c0439c94D314a6ecAE0490989750746C,balancer,0
0x183D73dA7adC5011EC3C46e33BB50271e59EC976,aura,1545.1123
0x183D73dA7adC5011EC3C46e33BB50271e59EC976,balancer,0
0xf720e9137baa9C7612e6CA59149a5057ab320cFa,aura,4169.8698
0xf720e9137baa9C7612e6CA59149a5057ab320cFa,balancer,130.5141
0x15C84754c7445D0DF6c613f1490cA07654347c1B,aura,19183.8866
0x15C84754c7445D0DF6c613f1490cA07654347c1B,balancer,7157.5210
0xF22BbdAd6B3Dd9314BdF97724DF32b09Ff95C216,aura,0
0xF22BbdAd6B3Dd9314BdF97724DF32b09Ff95C216,balancer,0
0xc6b65bc6bF4a5fF4D90fDf7f568cBF8C99419DA1,aura,5886.4362
0xc6b65bc6bF4a5fF4D90fDf7f568cBF8C99419DA1,balancer,933.9184
0xBB034E493eBF45F874e038Ae76576Df9Cc1137e5,aura,0
0xBB034E493eBF45F874e038Ae76576Df9Cc1137e5,balancer,0
0x62A82FE26E21a8807599374CaC8024fae342eF83,aura,1303.2421
0x62A82FE26E21a8807599374CaC8024fae342eF83,balancer,223.7531
0xBE0967E7510604302b0F974E21A625D9f762B8bb,aura,0
0xBE0967E7510604302b0F974E21A625D9f762B8bb,balancer,793.4283
0x671eD21480acf63b0AB7297b901505F5BccAfa9b,aura,0
0x671eD21480acf63b0AB7297b901505F5BccAfa9b,balancer,0
0x27213687F92cdA21F10cc09A3e860B6D817Ef096,aura,0
0x27213687F92cdA21F10cc09A3e860B6D817Ef096,balancer,0
0x9E965252d1b294aF358a232933A65Bd30645c34C,aura,0
0x9E965252d1b294aF358a232933A65Bd30645c34C,balancer,0
0xd384F6aC540eFeF9378cf8F6453Ad38A696411b5,aura,0
0xd384F6aC540eFeF9378cf8F6453Ad38A696411b5,balancer,0
0x7E123aD65cc842AB93bf2Dc79A8eadE8975bd3Cb,aura,0
0x7E123aD65cc842AB93bf2Dc79A8eadE8975bd3Cb,balancer,0
0x3ABa56CeC68987963566a9AA93bb7f7DD28De3F5,aura,0
0x3ABa56CeC68987963566a9AA93bb7f7DD28De3F5,balancer,0
0x058059cb764a98c18B937222eD06C1ad2f174Dce,aura,0
