chain,symbol,total_incentives_diff,bal_incentives_diff,earned_fees_diff,aura_incentives_diff,redirected_incentives_diff,fees_to_vebal_diff
polygon,maticX-WMATIC-BPT,0.0 (0.0%),0.004500000000007276 (0.0%),-0.0007000000000516593 (-0.0%),-0.004500000000007276 (-0.0%),0.14079999999995607 (0.04%),-0.09160000000065338 (-0.0%)
polygon,ECLP-WMATIC-stMATIC,0.0 (0.0%),0.0 (0.0%),0.06380000000001473 (0.04%),0.0 (0.0%),-0.13129999999995334 (0.04%),0.08539999999999281 (0.04%)
polygon,ECLP-GYD-AUSDT,0.0 (0.0%),0.0 (0.0%),0.0045000000000001705 (0.14%),0.0 (0.0%),-0.009500000000000064 (0.14%),0.006199999999999761 (0.14%)
mainnet,ezETH-WETH-BPT,17.994799999996758 (0.06%),5.345400000000154 (0.06%),0.0038000000022293534 (0.0%),12.649600000000646 (0.06%),0.1594000000000051 (0.1%),11.593000000000757 (0.06%)
mainnet,wstETH-WETH-BPT,15.508699999998498 (0.06%),4.550600000000486 (0.06%),-0.0033000000003085006 (-0.0%),10.958200000000943 (0.06%),0.1373000000000104 (0.1%),9.991300000001502 (0.06%)
mainnet,50wstETH-50ACX,-37.24109999999928 (-0.16%),-12.258100000000013 (-0.18%),-37.96320000000196 (-0.22%),-24.982700000000477 (-0.15%),-0.12609999999999388 (-0.11%),-24.124800000001414 (-0.16%)
mainnet,STG/USDC,-27.01050000000032 (-0.12%),-8.999300000000403 (-0.14%),-29.84450000000288 (-0.18%),-18.011399999999412 (-0.11%),-0.07880000000000109 (-0.07%),-17.505600000000413 (-0.12%)
mainnet,B-rETH-STABLE,10.172299999998359 (0.06%),10.172199999997247 (0.06%),0.0033999999996012775 (0.0%),0.0 (0.0%),0.0899999999999892 (0.1%),6.5534999999999854 (0.06%)
mainnet,weETH/rETH,8.611599999998361 (0.06%),2.345800000000054 (0.06%),-0.0036999999992985977 (-0.0%),6.265900000000329 (0.06%),0.07630000000000337 (0.1%),5.548000000000684 (0.06%)
mainnet,GHO/USDT/USDC,7.821899999999005 (0.06%),2.0932999999999993 (0.06%),-0.004000000000814907 (-0.0%),5.72860000000037 (0.06%),0.06920000000000925 (0.1%),5.039300000000367 (0.06%)
mainnet,sUSDe/USDC,5.107900000000882 (0.06%),1.225800000000163 (0.06%),-0.0039999999999054126 (-0.0%),3.8822000000000116 (0.06%),0.04520000000000124 (0.1%),3.2906999999995605 (0.06%)
mainnet,pufETH/wstETH,4.318199999999706 (0.06%),0.9735000000000582 (0.06%),-9.999999929277692e-05 (-0.0%),3.3449000000000524 (0.06%),0.03819999999999624 (0.1%),2.782000000000153 (0.06%)
mainnet,weETH/ezETH/rswETH,4.278300000000854 (0.06%),0.9604999999999109 (0.06%),0.003499999999803549 (0.0%),3.3177000000005137 (0.06%),0.03790000000000049 (0.1%),2.75630000000001 (0.06%)
mainnet,wstETH-rETH-sfrxETH-BPT,3.884100000000217 (0.06%),0.8345000000001619 (0.06%),0.0024000000003070454 (0.0%),3.0496000000002823 (0.06%),0.034300000000001774 (0.1%),2.5023000000001048 (0.06%)
mainnet,50rETH-50RPL,-11.628499999999804 (-0.21%),-4.108400000000074 (-0.38%),-11.14810000000034 (-0.26%),-7.520000000000437 (-0.16%),-0.04309999999999903 (-0.16%),-7.5306000000000495 (-0.21%)
mainnet,20WETH-80ALCX,-5.357899999999972 (-0.13%),-2.1118000000000166 (-0.34%),-5.824099999999817 (-0.18%),-3.246399999999994 (-0.09%),-0.016099999999998005 (-0.08%),-3.472200000000157 (-0.13%)
mainnet,80RDNT-20wETH,-1.2700999999997293 (-0.03%),-0.809599999999989 (-0.17%),-2.5446999999999207 (-0.09%),-0.46039999999993597 (-0.01%),0.002300000000001745 (0.01%),-0.8270000000002256 (-0.03%)
mainnet,rsETH / ETHx,1.2859000000003107 (0.06%),0.0 (0.0%),-0.0018000000000029104 (-0.0%),1.2859000000003107 (0.06%),0.011400000000000077 (0.1%),0.8282999999998992 (0.06%)
mainnet,ECLP-stdeUSD-deUSD,1.7726000000000113 (0.11%),0.0 (0.0%),0.6184000000000651 (0.05%),1.772799999999961 (0.11%),0.012399999999999523 (0.15%),1.1440999999999804 (0.11%)
mainnet,ankrETH/wstETH,0.9286999999999352 (0.06%),0.0 (0.0%),-0.00020000000017716957 (-0.0%),0.9284999999999854 (0.06%),0.008300000000000196 (0.11%),0.5981999999999061 (0.06%)
mainnet,ETHx/wstETH,0.8225999999999658 (0.06%),0.0 (0.0%),0.0025000000000545697 (0.0%),0.8226999999999407 (0.06%),0.007299999999999862 (0.11%),0.5298999999999978 (0.06%)
mainnet,ECLP-wstETH-wETH,0.0 (0.0%),0.0 (0.0%),-0.05440000000004375 (-0.02%),0.0 (0.0%),-0.17039999999997235 (0.04%),0.1108000000000402 (0.04%)
mainnet,ECLP-GYD-sDAI,0.0 (0.0%),0.0 (0.0%),-0.0011999999999829924 (-0.0%),0.0 (0.0%),-0.10130000000000905 (0.06%),0.06589999999999918 (0.06%)
mainnet,ECLP-sUSDe-GYD,0.0 (0.0%),0.0 (0.0%),-0.010199999999997544 (-0.01%),0.0 (0.0%),-0.057599999999993656 (0.05%),0.037499999999994316 (0.05%)
mainnet,swETH-WETH-BPT,0.0 (0.0%),0.0 (0.0%),0.0023999999999944066 (0.0%),0.0 (0.0%),-0.07389999999999475 (0.06%),0.04800000000000182 (0.06%)
mainnet,tETH/wstETH,0.0 (0.0%),0.0 (0.0%),-0.00030000000000285354 (-0.0%),0.0 (0.0%),-0.04269999999999641 (0.06%),0.02769999999999584 (0.06%)
mainnet,B-baoETH-rETH-BPT,0.0 (0.0%),0.0 (0.0%),-0.0045000000000001705 (-0.01%),0.0 (0.0%),-0.016899999999999693 (0.04%),0.011000000000002785 (0.04%)
