symbol,chain,total_incentives_diff,bal_incentives_diff,earned_fees_diff,aura_incentives_diff,redirected_incentives_diff,fees_to_vebal_diff
weETH/wETH,base,0.0 (0.0%),0.0 (0.0%),-0.002299999999991087 (-0.0%),0.0 (0.0%),-1.8131999999999948 (0.92%),1.1784999999999997 (0.92%)
ECLP-cbETH-wstETH,base,0.0 (0.0%),0.0 (0.0%),-0.011699999999997601 (-0.02%),0.0 (0.0%),-0.36079999999999757 (0.9%),0.2345000000000006 (0.9%)
USDC/USDbC/axlUSDC,base,0.0 (0.0%),0.0 (0.0%),-0.0027999999999988034 (-0.03%),0.0 (0.0%),-0.06299999999999972 (0.9%),0.04100000000000037 (0.9%)
sAVAX-WAVAX-BPT,avalanche,-0.46900000000005093 (-0.01%),-0.4657999999999447 (-0.06%),-0.0039999999999054126 (-0.0%),-0.0030999999999039574 (-0.0%),0.0 (0.0%),-0.3047999999998865 (-0.01%)
ggAVAX-WAVAX-BPT,avalanche,0.46889999999996235 (0.05%),0.46889999999996235 (0.05%),0.42650000000003274 (0.07%),0.0 (0.0%),0.0 (0.0%),0.3048000000000002 (0.05%)
RDNT-WETH,arbitrum,-114.09439999999995 (-0.86%),-38.89440000000013 (-0.99%),-314.0699999999997 (-1.69%),-75.20049999999901 (-0.8%),-1.0450000000000728 (-0.12%),-73.48210000000017 (-0.91%)
ECLP-weETH-wstETH,arbitrum,26.960700000000088 (0.86%),5.899900000000002 (0.87%),0.8795000000000073 (0.02%),21.060799999999745 (0.86%),3.2928999999999746 (1.61%),15.384000000000015 (0.81%)
ezETH/wstETH,arbitrum,18.43769999999995 (0.84%),3.192200000000014 (0.84%),-0.0036000000000058208 (-0.0%),15.245499999999993 (0.84%),2.27709999999999 (1.59%),10.504400000000032 (0.79%)
rETH/wETH BPT,arbitrum,12.942000000000007 (0.84%),1.4462000000000046 (0.85%),-0.002300000000104774 (-0.0%),11.495800000000145 (0.84%),1.598300000000009 (1.59%),7.373400000000061 (0.79%)
wstETH-WETH-BPT,arbitrum,10.055000000000064 (0.84%),0.0 (0.0%),0.0015000000000782165 (0.0%),10.054799999999886 (0.84%),1.2417999999999978 (1.59%),5.728600000000029 (0.79%)
wUSDL/GHO,arbitrum,9.186799999999948 (0.84%),0.0 (0.0%),-0.0018000000000029104 (-0.0%),9.186799999999948 (0.84%),1.1343999999999994 (1.59%),5.234100000000012 (0.79%)
ECLP-wstETH-WETH,arbitrum,9.168700000000172 (0.86%),0.0 (0.0%),0.1977999999999156 (0.01%),9.168600000000197 (0.86%),1.1241000000000128 (1.61%),5.228899999999953 (0.81%)
sFRAX/4POOL,arbitrum,8.412099999999896 (0.84%),8.412099999999896 (0.84%),0.001099999999951251 (0.0%),0.0 (0.0%),1.038800000000009 (1.59%),4.792699999999968 (0.79%)
wstETH/sfrxETH,arbitrum,7.619500000000016 (0.84%),7.619300000000067 (0.84%),-0.005100000000084037 (-0.0%),0.0 (0.0%),0.9411999999999949 (1.59%),4.34089999999992 (0.79%)
cbETH/rETH/wstETH,arbitrum,6.015699999999924 (0.84%),6.015799999999899 (0.84%),0.0015999999999394277 (0.0%),0.0 (0.0%),0.7428000000000026 (1.59%),3.427400000000034 (0.79%)
weETH/wETH,arbitrum,5.296600000000012 (0.84%),5.296399999999949 (0.84%),-0.0003000000000383807 (-0.0%),0.0 (0.0%),0.6541999999999959 (1.59%),3.017600000000016 (0.79%)
rsETH/wETH,arbitrum,0.0 (0.0%),0.0 (0.0%),0.0038999999999305146 (0.0%),0.0 (0.0%),-3.8355000000000246 (0.79%),2.4931000000000267 (0.79%)
ankrETH/wstETH-BPT,arbitrum,0.0 (0.0%),0.0 (0.0%),0.0017000000000280124 (0.0%),0.0 (0.0%),-2.8403000000000134 (0.79%),1.8462000000000103 (0.79%)
