chain,symbol,total_incentives_diff,bal_incentives_diff,earned_fees_diff,aura_incentives_diff,redirected_incentives_diff,fees_to_vebal_diff
mainnet,balETH/wstETH,0.0 (nan%),0.0 (nan%),-0.0018999999999991246 (-0.0%),0.0 (nan%),-0.008600000000001273 (0.01%),0.00560000000000116 (0.01%)
mainnet,ECLP-wstETH-GYD,0.0 (nan%),0.0 (nan%),-0.11640000000000228 (-0.37%),0.0 (nan%),0.11530000000000484 (-0.35%),-0.07489999999999952 (-0.35%)
mainnet,qETH/WETH,0.0 (nan%),0.0 (nan%),0.0 (nan%),0.0 (nan%),0.0 (nan%),0.0 (nan%)
mainnet,B-baoETH-wstETH-BPT,0.0 (nan%),0.0 (nan%),0.0 (nan%),0.0 (nan%),0.0 (nan%),0.0 (nan%)
mainnet,ECLP-mevETH-wETH,0.0 (nan%),0.0 (nan%),0.0 (nan%),0.0 (nan%),0.0 (nan%),0.0 (nan%)
gnosis,bb-WETH-wstETH,0.0 (0.0%),0.01209999999991851 (0.0%),-0.15080000000034488 (-0.0%),-0.01209999999991851 (-0.0%),0.0 (nan%),0.0 (0.0%)
base,rETH-WETH-BPT,9.999999974752427e-05 (0.0%),0.0013000000000147338 (0.0%),-0.0036000000000058208 (-0.0%),-0.0012000000001535227 (-0.0%),-0.0033999999999991815 (-0.0%),0.002300000000104774 (0.0%)
base,weETH/wETH,0.0 (nan%),0.0 (nan%),-0.004699999999957072 (-0.0%),0.0 (nan%),0.004800000000045657 (-0.0%),-0.003100000000017644 (-0.0%)
base,USDC/USDbC/axlUSDC,0.0 (nan%),0.0 (nan%),0.000700000000000145 (0.01%),0.0 (nan%),-0.00140000000000029 (0.01%),0.0007999999999999119 (0.01%)
avalanche,sAVAX-WAVAX-BPT,0.0 (0.0%),0.0005999999999630745 (0.0%),0.0027000000000043656 (0.0%),-0.0006999999999379725 (-0.0%),-0.00019999999999242846 (-0.0%),0.00010000000008858478 (0.0%)
avalanche,ggAVAX-WAVAX-BPT,0.0 (nan%),0.0 (nan%),-0.00029999999998153726 (-0.0%),0.0 (nan%),0.00019999999999242846 (-0.0%),-0.00010000000000331966 (-0.0%)
arbitrum,RDNT-WETH,7.759500000000116 (0.15%),3.1152000000000726 (0.34%),15.289600000000064 (0.22%),4.644199999999728 (0.11%),0.8922999999999774 (0.09%),4.4637000000002445 (0.16%)
arbitrum,ECLP-weETH-wstETH,-2.1003999999998086 (-0.07%),-0.07450000000000045 (-0.04%),0.1455999999998312 (0.0%),-2.0257000000001426 (-0.07%),-0.7813999999999623 (-0.13%),-0.8574000000000979 (-0.06%)
arbitrum,wstETH/sfrxETH,-1.2650000000001 (-0.07%),0.0 (nan%),0.004400000000259752 (0.0%),-1.2648999999998978 (-0.07%),-0.45999999999997954 (-0.14%),-0.5231999999999744 (-0.06%)
arbitrum,ezETH/wstETH,-0.8335999999999331 (-0.08%),0.0 (nan%),0.001099999999951251 (0.0%),-0.83400000000006 (-0.08%),-0.3026999999999873 (-0.14%),-0.3451000000000022 (-0.06%)
arbitrum,rETH/wETH BPT,-0.8223000000000411 (-0.08%),-0.8222000000000662 (-0.08%),0.0003999999998995918 (0.0%),0.0 (nan%),-0.29879999999999995 (-0.14%),-0.34019999999998163 (-0.06%)
arbitrum,ECLP-wstETH-WETH,-0.8486000000000331 (-0.09%),-0.8491000000000213 (-0.09%),-0.12910000000010768 (-0.01%),0.0 (nan%),-0.29189999999999827 (-0.15%),-0.36189999999999145 (-0.07%)
arbitrum,wstETH-WETH-BPT,-0.7134999999999536 (-0.08%),-0.7133000000000038 (-0.08%),-0.003300000000081127 (-0.0%),0.0 (nan%),-0.2587999999999795 (-0.14%),-0.295599999999979 (-0.06%)
arbitrum,sFRAX/4POOL,-0.6819999999999027 (-0.07%),-0.682399999999916 (-0.07%),0.004000000000132786 (0.0%),0.0 (nan%),-0.24809999999999377 (-0.14%),-0.28199999999998226 (-0.06%)
arbitrum,cbETH/rETH/wstETH,-0.4938000000000784 (-0.08%),-0.4938000000000784 (-0.08%),-0.0027999999999792635 (-0.0%),0.0 (nan%),-0.17920000000000869 (-0.14%),-0.2044999999999959 (-0.06%)
arbitrum,ECLP-GHO-USDe-rh,0.0 (nan%),0.0 (nan%),0.309099999999944 (0.04%),0.0 (nan%),0.07540000000000191 (-0.02%),-0.049100000000009913 (-0.02%)
arbitrum,ETHx/wstETH,0.0 (nan%),0.0 (nan%),0.0007000000000516593 (0.0%),0.0 (nan%),0.23520000000002028 (-0.06%),-0.15289999999998827 (-0.06%)
arbitrum,rsETH/wETH,0.0 (nan%),0.0 (nan%),-0.0006000000000767614 (-0.0%),0.0 (nan%),0.23099999999999454 (-0.06%),-0.15020000000001232 (-0.06%)
arbitrum,4POOL,0.0 (nan%),0.0 (nan%),0.001100000000064938 (0.0%),0.0 (nan%),0.2037000000000262 (-0.06%),-0.13240000000001828 (-0.06%)
arbitrum,weETH/wETH,0.0 (nan%),0.0 (nan%),-0.004900000000020555 (-0.0%),0.0 (nan%),0.16669999999999163 (-0.06%),-0.10840000000001737 (-0.06%)
arbitrum,ankrETH/wstETH-BPT,0.0 (nan%),0.0 (nan%),-0.0008000000000265572 (-0.0%),0.0 (nan%),0.15570000000002437 (-0.06%),-0.10110000000000241 (-0.06%)
arbitrum,sUSDe/sFRAX,0.0 (nan%),0.0 (nan%),0.0036000000000058208 (0.0%),0.0 (nan%),0.12659999999999627 (-0.06%),-0.08230000000000359 (-0.06%)
arbitrum,ECLP-AUSDC-AUSDT,0.0 (nan%),0.0 (nan%),-0.03160000000002583 (-0.01%),0.0 (nan%),0.13540000000000418 (-0.07%),-0.08799999999999386 (-0.07%)
arbitrum,ECLP-rETH-wstETH,0.0 (nan%),0.0 (nan%),-0.0009000000000014552 (-0.0%),0.0 (nan%),0.08079999999998222 (-0.06%),-0.052499999999994884 (-0.06%)
arbitrum,sUSX/USDC,0.0 (nan%),0.0 (nan%),-0.0016999999999995907 (-0.0%),0.0 (nan%),0.06390000000000384 (-0.06%),-0.041499999999999204 (-0.06%)
arbitrum,ECLP-WOETH-WETH,0.0 (nan%),0.0 (nan%),0.00919999999999277 (0.01%),0.0 (nan%),0.05689999999999884 (-0.05%),-0.03699999999999193 (-0.05%)
arbitrum,sFRAX/FRAX,0.0 (nan%),0.0 (nan%),0.0036000000000058208 (0.0%),0.0 (nan%),0.036000000000001364 (-0.06%),-0.023400000000002308 (-0.06%)
arbitrum,instETH/wstETH,0.0 (nan%),0.0 (nan%),0.0027000000000043656 (0.0%),0.0 (nan%),0.0257000000000005 (-0.06%),-0.016799999999999926 (-0.06%)
arbitrum,ECLP-GYD-AUSDT,0.0 (nan%),0.0 (nan%),-0.10090000000000998 (-0.15%),0.0 (nan%),0.08659999999999712 (-0.21%),-0.05630000000000024 (-0.21%)
arbitrum,ECLP-GYD-AUSDC,0.0 (nan%),0.0 (nan%),0.014299999999998647 (0.03%),0.0 (nan%),0.007900000000002905 (-0.03%),-0.005099999999998772 (-0.03%)
arbitrum,ECLP-sUSDe-GYD,0.0 (nan%),0.0 (nan%),-0.030400000000000205 (-0.07%),0.0 (nan%),0.03469999999999729 (-0.13%),-0.0224999999999973 (-0.13%)
arbitrum,ECLP-wstETH-GYD,0.0 (nan%),0.0 (nan%),-0.2881 (-0.66%),0.0 (nan%),0.19280000000000186 (-0.72%),-0.1252999999999993 (-0.72%)
arbitrum,ECLP-GHO-GYD-rh,0.0 (nan%),0.0 (nan%),-0.001900000000000901 (-0.01%),0.0 (nan%),0.006399999999999295 (-0.07%),-0.0041999999999999815 (-0.07%)
arbitrum,2CLP-AUSDC-USDC,0.0 (nan%),0.0 (nan%),-0.007100000000000328 (-0.09%),0.0 (nan%),0.007299999999999862 (-0.15%),-0.0047999999999999154 (-0.15%)
arbitrum,2CLP-AUSDT-USDT,0.0 (nan%),0.0 (nan%),0.0035999999999996035 (0.05%),0.0 (nan%),0.000300000000000189 (-0.01%),-0.00019999999999997797 (-0.01%)
arbitrum,ECLP-GHO-AUSDC,0.0 (nan%),0.0 (nan%),0.0 (nan%),0.0 (nan%),0.0 (nan%),0.0 (nan%)
arbitrum,ANKR:ankrETH,0.0 (nan%),0.0 (nan%),0.0 (nan%),0.0 (nan%),0.0 (nan%),0.0 (nan%)
