chain,symbol,total_incentives_diff,bal_incentives_diff,earned_fees_diff,aura_incentives_diff,redirected_incentives_diff,fees_to_vebal_diff
polygon,maticX-WMATIC-BPT,0.00010000000020227162 (0.0%),0.0027000000000043656 (0.0%),-0.00279999999975189 (-0.0%),-0.0026000000002568413 (-0.0%),0.03110000000000923 (0.01%),-0.020200000000386353 (-0.0%)
polygon,ECLP-WMATIC-stMATIC,0.0 (nan%),0.0 (nan%),0.016199999999997772 (0.02%),0.0 (nan%),-0.03110000000000923 (0.01%),0.02020000000001687 (0.01%)
mainnet,ezETH-WETH-BPT,2.827100000000428 (0.02%),0.7962999999999738 (0.02%),0.002799999998387648 (0.0%),2.030300000000352 (0.02%),0.10130000000003747 (0.03%),1.7716999999993277 (0.02%)
mainnet,wstETH-WETH-BPT,2.813799999999901 (0.02%),0.7924000000002707 (0.02%),-0.0030000000006111804 (-0.0%),2.0213999999996304 (0.02%),0.10060000000004266 (0.03%),1.763599999998405 (0.02%)
mainnet,B-rETH-STABLE,2.702400000000125 (0.02%),2.7021999999997206 (0.02%),-0.001399999999193824 (-0.0%),0.0 (nan%),0.0968000000000302 (0.03%),1.693699999999808 (0.02%)
mainnet,50wstETH-50ACX,-8.17830000000049 (-0.1%),-2.766600000000153 (-0.15%),-9.053899999999885 (-0.12%),-5.411700000000565 (-0.09%),-0.1634999999999991 (-0.09%),-5.209600000000137 (-0.1%)
mainnet,weETH/rETH,1.42279999999937 (0.02%),0.33799999999996544 (0.02%),0.0016999999998006388 (0.0%),1.0845999999992273 (0.02%),0.0508999999999844 (0.03%),0.8917999999994208 (0.02%)
mainnet,wstETH-rETH-sfrxETH-BPT,0.8060999999997875 (0.02%),0.13670000000001892 (0.02%),0.0007999999997991836 (0.0%),0.6694000000002234 (0.02%),0.028900000000007253 (0.03%),0.5052000000000589 (0.02%)
mainnet,sUSDe/USDC,0.7833999999993466 (0.02%),0.1294999999998936 (0.02%),0.002900000000408909 (0.0%),0.6541999999999462 (0.02%),0.027899999999988268 (0.03%),0.49099999999998545 (0.02%)
mainnet,pufETH/wstETH,0.7166999999999462 (0.02%),0.10770000000002256 (0.02%),-0.0005000000001018634 (-0.0%),0.6091000000001259 (0.02%),0.02559999999999718 (0.03%),0.4492000000000189 (0.02%)
mainnet,weETH/ezETH/rswETH,0.698699999999917 (0.02%),0.10180000000002565 (0.02%),0.00010000000020227162 (0.0%),0.5970000000002074 (0.02%),0.024900000000002365 (0.03%),0.43800000000010186 (0.02%)
mainnet,GHO/USDT/USDC,0.6799999999998363 (0.02%),0.09559999999999036 (0.02%),0.0028999999999541615 (0.0%),0.5843999999997322 (0.02%),0.024199999999993338 (0.03%),0.4261999999998807 (0.02%)
mainnet,50rETH-50RPL,-2.1178999999999633 (-0.11%),0.0 (nan%),-2.3265000000001237 (-0.12%),-2.1176000000000386 (-0.11%),-0.04269999999999641 (-0.1%),-1.3488999999999578 (-0.11%)
mainnet,80RDNT-20wETH,-3.22849999999994 (-0.17%),0.0 (nan%),-3.3536999999998898 (-0.19%),-3.228399999999965 (-0.17%),-0.0677999999999983 (-0.16%),-2.054399999999987 (-0.17%)
mainnet,STG/USDC,-0.5925999999999476 (-0.04%),0.0 (nan%),-0.820699999999988 (-0.06%),-0.5924999999999727 (-0.04%),-0.009500000000002728 (-0.03%),-0.3790000000000191 (-0.04%)
mainnet,sDOLA-DOLA BSP,0.2278000000001157 (0.02%),0.0 (nan%),0.0009000000000014552 (0.0%),0.22790000000009059 (0.02%),0.008200000000002206 (0.03%),0.14269999999999072 (0.02%)
mainnet,ankrETH/wstETH,0.16270000000008622 (0.02%),0.0 (nan%),-0.004900000000020555 (-0.0%),0.16259999999999764 (0.02%),0.006000000000000227 (0.03%),0.10180000000002565 (0.02%)
mainnet,ETHx/wstETH,0.1631999999999607 (0.02%),0.0 (nan%),0.0030000000000427463 (0.0%),0.1630999999999858 (0.02%),0.00590000000000046 (0.03%),0.10220000000003893 (0.02%)
mainnet,20WETH-80ALCX,0.00029999999992469384 (0.0%),0.0 (0.0%),-0.12599999999997635 (-0.02%),0.0 (nan%),0.0019000000000026773 (0.01%),-0.0009999999999763531 (-0.0%)
mainnet,cdcETH/wstETH,0.11250000000006821 (0.02%),0.11250000000006821 (0.02%),-0.004900000000020555 (-0.0%),0.0 (nan%),0.00420000000000087 (0.03%),0.07040000000000646 (0.02%)
mainnet,sDAI/3Pool,0.0 (nan%),0.0 (nan%),-0.004500000000007276 (-0.0%),0.0 (nan%),-0.08320000000003347 (0.02%),0.054100000000005366 (0.02%)
mainnet,ECLP-wstETH-wETH,0.0 (nan%),0.0 (nan%),-0.017800000000022465 (-0.0%),0.0 (nan%),-0.06340000000000146 (0.01%),0.041200000000003456 (0.01%)
mainnet,uniETH-WETH,0.0 (nan%),0.0 (nan%),-0.004399999999975535 (-0.0%),0.0 (nan%),-0.055999999999983174 (0.02%),0.03640000000001464 (0.02%)
mainnet,trenSTETH,0.0 (nan%),0.0 (nan%),0.0020000000000095497 (0.0%),0.0 (nan%),-0.04099999999999682 (0.02%),0.026700000000005275 (0.02%)
mainnet,ECLP-sUSDe-GYD,0.0 (nan%),0.0 (nan%),-0.010900000000020782 (-0.01%),0.0 (nan%),-0.01470000000000482 (0.01%),0.009500000000002728 (0.01%)
mainnet,swETH-WETH-BPT,0.0 (nan%),0.0 (nan%),0.003999999999990678 (0.0%),0.0 (nan%),-0.02940000000000964 (0.02%),0.019099999999994566 (0.02%)
mainnet,ECLP-GYD-sDAI,0.0 (nan%),0.0 (nan%),0.008099999999998886 (0.01%),0.0 (nan%),-0.02610000000001378 (0.03%),0.0169000000000068 (0.03%)
mainnet,rsETH / ETHx,0.0 (nan%),0.0 (nan%),0.0026999999999901547 (0.0%),0.0 (nan%),-0.01630000000000109 (0.02%),0.010699999999999932 (0.02%)
