chain,symbol,total_incentives_diff,bal_incentives_diff,earned_fees_diff,aura_incentives_diff,redirected_incentives_diff,fees_to_vebal_diff
polygon,maticX-WMATIC-BPT,0.9470000000001164 (0.0%),0.9621999999999389 (0.01%),-0.0015000000003055902 (-0.0%),-0.015200000001641456 (-0.0%),0.3383999999999787 (0.1%),0.3955999999998312 (0.0%)
polygon,ECLP-WMATIC-stMATIC,-0.9470999999999776 (-0.11%),-0.9470999999999776 (-0.11%),-0.24430000000000973 (-0.11%),0.0 (0.0%),-0.0015999999999998238 (-0.01%),-0.6145999999999958 (-0.11%)
polygon,ECLP-paUSD-USDC-rh,0.0 (0.0%),0.0 (0.0%),0.08129999999999882 (0.1%),0.0 (0.0%),-0.33030000000002246 (0.1%),0.21469999999999345 (0.1%)
polygon,ECLP-GYD-AUSDT,0.0 (0.0%),0.0 (0.0%),0.0014999999999991687 (0.02%),0.0 (0.0%),-0.006599999999998829 (0.02%),0.004299999999997084 (0.02%)
mainnet,B-rETH-STABLE,22.530900000001566 (0.08%),22.53099999999904 (0.08%),0.003400000001420267 (0.0%),0.0 (0.0%),0.3516999999999939 (0.17%),14.41649999999936 (0.08%)
mainnet,wstETH-WETH-BPT,15.144500000002154 (0.08%),4.025399999999536 (0.09%),-0.004099999998288695 (-0.0%),11.11909999999989 (0.08%),0.2365000000000066 (0.17%),9.690199999999095 (0.08%)
mainnet,50wstETH-50ACX,-44.4974000000002 (-0.26%),-15.112600000000384 (-0.36%),-53.65319999999883 (-0.35%),-29.384899999999107 (-0.23%),-0.2220000000000084 (-0.18%),-28.778999999998632 (-0.27%)
mainnet,ezETH-WETH-BPT,12.261099999999715 (0.08%),3.098200000000361 (0.09%),0.0018999999992956873 (0.0%),9.162900000001173 (0.08%),0.19140000000000157 (0.17%),7.8452999999990425 (0.08%)
mainnet,GHO/USDT/USDC,11.392399999998815 (0.08%),2.81880000000001 (0.09%),-0.004999999999199645 (-0.0%),8.573599999999715 (0.08%),0.17789999999999395 (0.17%),7.2893999999996595 (0.08%)
mainnet,ECLP-stdeUSD-deUSD,7.823800000000119 (0.08%),1.6710000000000491 (0.09%),-0.027400000000852742 (-0.0%),6.152599999999438 (0.08%),0.12250000000000227 (0.17%),5.005799999999908 (0.08%)
