chain,symbol,total_incentives_diff,bal_incentives_diff,earned_fees_diff,aura_incentives_diff,redirected_incentives_diff,fees_to_vebal_diff
mainnet,uniETH-WETH,0.0 (nan%),0.0 (nan%),0.00030000000000995897 (0.0%),0.0 (nan%),-0.08830000000000382 (0.03%),0.05740000000000123 (0.03%)
mainnet,balETH/wstETH,0.0 (nan%),0.0 (nan%),-0.0004999999999881766 (-0.0%),0.0 (nan%),-0.06290000000001328 (0.03%),0.04090000000002192 (0.03%)
mainnet,swETH-WETH-BPT,0.0 (nan%),0.0 (nan%),-0.004900000000020555 (-0.0%),0.0 (nan%),-0.04460000000000264 (0.03%),0.028900000000007253 (0.03%)
mainnet,B-baoETH-wstETH-BPT,0.0 (nan%),0.0 (nan%),-0.00039999999999906777 (-0.0%),0.0 (nan%),-0.006800000000001916 (0.03%),0.004400000000000404 (0.03%)
mainnet,cdcETH/wstETH,0.0 (nan%),0.0 (nan%),0.0 (nan%),0.0 (nan%),0.0 (nan%),0.0 (nan%)
mainnet,ECLP-sUSDe-GYD,0.0 (nan%),0.0 (nan%),0.0 (nan%),0.0 (nan%),0.0 (nan%),0.0 (nan%)
mainnet,ECLP-mevETH-wETH,0.0 (nan%),0.0 (nan%),0.0 (nan%),0.0 (nan%),0.0 (nan%),0.0 (nan%)
mainnet,ECLP-wstETH-GYD,0.0 (nan%),0.0 (nan%),0.0 (nan%),0.0 (nan%),0.0 (nan%),0.0 (nan%)
mainnet,50KEP/50rsETH,0.0 (nan%),0.0 (nan%),0.0 (nan%),0.0 (nan%),0.0 (nan%),0.0 (nan%)
gnosis,bb-WETH-wstETH,0.0 (0.0%),0.005999999999858119 (0.0%),-0.013800000000628643 (-0.0%),-0.0059000000001105946 (-0.0%),0.0 (nan%),0.0 (0.0%)
base,rETH-WETH-BPT,-0.00479999999993197 (-0.0%),-0.00380000000001246 (-0.0%),0.002299999999991087 (0.0%),-0.0011000000001786248 (-0.0%),-0.00280000000000058 (-0.02%),-0.0013999999999896318 (-0.0%)
base,weETH/wETH,0.00479999999993197 (0.0%),0.00479999999993197 (0.0%),0.004800000000045657 (0.0%),0.0 (nan%),-0.000900000000000567 (-0.02%),0.003700000000037562 (0.0%)
base,USDC/USDbC/axlUSDC,0.0 (nan%),0.0 (nan%),-0.002200000000000202 (-0.02%),0.0 (nan%),0.0036000000000004917 (-0.02%),-0.0023999999999997357 (-0.02%)
avalanche,sAVAX-WAVAX-BPT,0.0 (0.0%),0.0007000000000516593 (0.0%),0.0016000000000531145 (0.0%),-0.0008000000000265572 (-0.0%),0.0007999999999981355 (0.0%),-0.0004000000000132786 (-0.0%)
avalanche,ggAVAX-WAVAX-BPT,0.0 (nan%),0.0 (nan%),0.002200000000016189 (0.0%),0.0 (nan%),-0.0007999999999981355 (0.0%),0.0005000000000165983 (0.0%)
arbitrum,RDNT-WETH,-22.900299999999334 (-0.37%),-8.158100000000104 (-0.49%),-49.88969999999972 (-0.55%),-14.74200000000019 (-0.32%),-6.841600000000085 (-0.83%),-10.438199999999597 (-0.3%)
arbitrum,ECLP-weETH-wstETH,4.964899999999943 (0.15%),0.9561999999999671 (0.14%),-1.4216999999998734 (-0.03%),4.008899999999812 (0.15%),-1.3622000000000298 (-0.31%),4.112599999999929 (0.22%)
arbitrum,ezETH/wstETH,4.682299999999941 (0.18%),0.8632000000000062 (0.18%),0.0028999999999541615 (0.0%),3.81899999999996 (0.18%),-0.9724999999999682 (-0.28%),3.6756000000000313 (0.25%)
arbitrum,wstETH/sfrxETH,3.4110999999998057 (0.18%),0.4468999999999994 (0.18%),0.0030999999999039574 (0.0%),2.964100000000144 (0.18%),-0.708200000000005 (-0.28%),2.677500000000009 (0.25%)
arbitrum,ETHx/wstETH,1.9975999999999203 (0.18%),0.0 (nan%),-0.0009000000000014552 (-0.0%),1.9976999999998952 (0.18%),-0.41509999999999536 (-0.28%),1.568300000000022 (0.25%)
arbitrum,sFRAX/4POOL,1.8699999999998909 (0.18%),0.0 (nan%),0.0014999999998508429 (0.0%),1.869899999999916 (0.18%),-0.38810000000000855 (-0.28%),1.4676999999999225 (0.25%)
arbitrum,ECLP-wstETH-WETH,1.7002999999999702 (0.18%),1.7005000000000337 (0.18%),-0.060500000000047294 (-0.0%),0.0 (nan%),-0.36760000000001014 (-0.28%),1.3439999999999372 (0.25%)
arbitrum,wstETH-WETH-BPT,1.6330000000000382 (0.18%),1.633199999999988 (0.18%),-0.0026000000000294676 (-0.0%),0.0 (nan%),-0.33979999999999677 (-0.28%),1.282199999999989 (0.25%)
arbitrum,cbETH/rETH/wstETH,1.46550000000002 (0.18%),1.4657000000000835 (0.18%),0.0039999999999054126 (0.0%),0.0 (nan%),-0.3037999999999954 (-0.28%),1.1499999999999773 (0.25%)
arbitrum,rETH/wETH BPT,1.1757000000000062 (0.18%),1.175799999999981 (0.18%),-0.0028000000000929504 (-0.0%),0.0 (nan%),-0.24509999999999366 (-0.28%),0.9236000000000217 (0.25%)
arbitrum,weETH/wETH,0.0 (nan%),0.0 (nan%),0.004900000000020555 (0.0%),0.0 (nan%),-1.1630999999999858 (0.25%),0.7560000000000286 (0.25%)
arbitrum,4POOL,0.0 (nan%),0.0 (nan%),0.0007999999999128704 (0.0%),0.0 (nan%),-0.9187000000000012 (0.25%),0.597200000000015 (0.25%)
arbitrum,sUSDe/sFRAX,0.0 (nan%),0.0 (nan%),0.003100000000017644 (0.0%),0.0 (nan%),-0.7008000000000152 (0.25%),0.4555000000000007 (0.25%)
arbitrum,rsETH/wETH,0.0 (nan%),0.0 (nan%),-0.004199999999968895 (-0.0%),0.0 (nan%),-0.6650999999999954 (0.25%),0.4322999999999979 (0.25%)
arbitrum,ankrETH/wstETH-BPT,0.0 (nan%),0.0 (nan%),0.004300000000000637 (0.0%),0.0 (nan%),-0.6698999999999842 (0.25%),0.43550000000001887 (0.25%)
arbitrum,sUSX/USDC,0.0 (nan%),0.0 (nan%),-0.0003000000000383807 (-0.0%),0.0 (nan%),-0.5286999999999864 (0.25%),0.3435999999999808 (0.25%)
arbitrum,ECLP-AUSDC-AUSDT,0.0 (nan%),0.0 (nan%),-0.12719999999995935 (-0.05%),0.0 (nan%),-0.32390000000000896 (0.2%),0.21059999999999945 (0.2%)
arbitrum,ECLP-rETH-wstETH,0.0 (nan%),0.0 (nan%),0.050499999999999545 (0.02%),0.0 (nan%),-0.4089999999999918 (0.27%),0.265900000000002 (0.27%)
arbitrum,ECLP-WOETH-WETH,0.0 (nan%),0.0 (nan%),0.06980000000001496 (0.03%),0.0 (nan%),-0.4002999999999872 (0.28%),0.26020000000001176 (0.28%)
arbitrum,ECLP-GHO-USDe-rh,0.0 (nan%),0.0 (nan%),-0.001999999999981128 (-0.0%),0.0 (nan%),-0.3061000000000007 (0.25%),0.19899999999999807 (0.25%)
arbitrum,sFRAX/FRAX,0.0 (nan%),0.0 (nan%),-0.004099999999993997 (-0.0%),0.0 (nan%),-0.1694000000000102 (0.25%),0.11010000000000275 (0.25%)
arbitrum,ECLP-GYD-AUSDT,0.0 (nan%),0.0 (nan%),0.0015000000000000568 (0.0%),0.0 (nan%),-0.06629999999999825 (0.25%),0.04309999999999903 (0.25%)
arbitrum,ECLP-GYD-AUSDC,0.0 (nan%),0.0 (nan%),-0.010299999999993759 (-0.03%),0.0 (nan%),-0.05279999999999774 (0.22%),0.0343 (0.22%)
arbitrum,ECLP-sUSDe-GYD,0.0 (nan%),0.0 (nan%),-0.05169999999999675 (-0.16%),0.0 (nan%),-0.016899999999999693 (0.09%),0.010999999999999233 (0.09%)
arbitrum,ECLP-wstETH-GYD,0.0 (nan%),0.0 (nan%),-21.150799999999997 (-68.05%),0.0 (nan%),12.482500000000002 (-67.97%),-8.1136 (-67.97%)
arbitrum,2CLP-AUSDC-USDC,0.0 (nan%),0.0 (nan%),-3.0065999999999997 (-30.22%),0.0 (nan%),1.7663000000000002 (-30.04%),-1.1481000000000003 (-30.04%)
arbitrum,2CLP-AUSDT-USDT,0.0 (nan%),0.0 (nan%),-1.3396000000000008 (-19.3%),0.0 (nan%),0.7833000000000001 (-19.1%),-0.5091000000000001 (-19.1%)
arbitrum,ECLP-GHO-GYD-rh,0.0 (nan%),0.0 (nan%),-1.3700999999999999 (-24.47%),0.0 (nan%),0.8032000000000004 (-24.27%),-0.5221 (-24.28%)
arbitrum,ECLP-GHO-AUSDC,0.0 (nan%),0.0 (nan%),-4.23 (-100.0%),0.0 (nan%),2.4993 (-100.0%),-1.6246 (-100.0%)
arbitrum,ANKR:ankrETH,0.0 (nan%),0.0 (nan%),0.0 (nan%),0.0 (nan%),0.0 (nan%),0.0 (nan%)
