chain,symbol,total_incentives_diff,bal_incentives_diff,earned_fees_diff,aura_incentives_diff,redirected_incentives_diff,fees_to_vebal_diff
polygon,maticX-WMATIC-BPT,0.0 (0.0%),0.002599999999802094 (0.0%),-0.0009999999997489795 (-0.0%),-0.0027000000000043656 (-0.0%),0.04169999999999163 (0.02%),-0.02709999999979118 (-0.0%)
polygon,ECLP-WMATIC-stMATIC,0.0 (nan%),0.0 (nan%),0.01979999999998938 (0.02%),0.0 (nan%),-0.04169999999999163 (0.02%),0.027099999999990132 (0.02%)
mainnet,ezETH-WETH-BPT,7.433700000001409 (0.03%),2.307699999999386 (0.03%),-0.0014999999984866008 (-0.0%),5.126199999998789 (0.03%),0.13989999999998304 (0.06%),4.7409999999999854 (0.03%)
mainnet,wstETH-WETH-BPT,5.139600000000428 (0.03%),1.5536000000001877 (0.03%),0.004800000000614091 (0.0%),3.5859999999993306 (0.03%),0.09669999999999845 (0.06%),3.2778999999991356 (0.03%)
mainnet,B-rETH-STABLE,2.9923999999991793 (0.03%),2.9923999999991793 (0.03%),0.002899999999499414 (0.0%),0.0 (nan%),0.056400000000010664 (0.06%),1.9083000000000538 (0.03%)
mainnet,50wstETH-50ACX,-26.290600000000268 (-0.33%),-8.73219999999992 (-0.39%),-26.347600000000057 (-0.36%),-17.5583000000006 (-0.3%),-0.2511999999999972 (-0.3%),-16.925500000000284 (-0.33%)
mainnet,weETH/ezETH/rswETH,2.4178000000001703 (0.03%),0.6589999999996508 (0.03%),-0.004200000000309956 (-0.0%),1.7588000000005195 (0.03%),0.04549999999998988 (0.06%),1.542000000000371 (0.03%)
mainnet,GHO/USDT/USDC,2.408200000000761 (0.03%),0.6557999999999993 (0.03%),-0.003499999999803549 (-0.0%),1.7521999999999025 (0.03%),0.04550000000000409 (0.06%),1.5357999999996537 (0.03%)
mainnet,weETH/rETH,1.8299999999999272 (0.03%),0.4657999999999447 (0.03%),0.0009000000000014552 (0.0%),1.3640000000004875 (0.03%),0.03450000000000131 (0.06%),1.1669999999999163 (0.03%)
mainnet,20WETH-80ALCX,0.3481000000001586 (0.01%),-0.01950000000010732 (-0.0%),-1.0605999999997948 (-0.02%),0.36750000000029104 (0.01%),0.01640000000000441 (0.03%),0.2155999999999949 (0.01%)
mainnet,pufETH/wstETH,1.2510999999999513 (0.03%),0.27549999999996544 (0.03%),-0.0025000000000545697 (-0.0%),0.9756000000002132 (0.03%),0.02360000000000184 (0.06%),0.7979000000000269 (0.03%)
mainnet,wstETH-rETH-sfrxETH-BPT,1.0619000000001506 (0.03%),0.21339999999997872 (0.03%),0.002399999999852298 (0.0%),0.8486000000002605 (0.03%),0.020000000000003126 (0.06%),0.6771999999996297 (0.03%)
mainnet,50rETH-50RPL,0.17709999999988213 (0.01%),-0.07639999999997826 (-0.02%),-0.6455999999998312 (-0.03%),0.2536000000000058 (0.01%),0.009299999999999642 (0.03%),0.1089999999999236 (0.01%)
mainnet,sUSDe/USDC,0.8092999999998938 (0.03%),0.130299999999977 (0.03%),0.004500000000007276 (0.0%),0.678899999999885 (0.03%),0.015200000000000102 (0.06%),0.5160999999998239 (0.03%)
mainnet,STG/USDC,-0.5260000000002947 (-0.02%),-0.306699999999978 (-0.11%),-1.098700000000008 (-0.06%),-0.21929999999997563 (-0.01%),0.00019999999999953388 (0.0%),-0.3421000000000731 (-0.03%)
mainnet,ETHx/wstETH,0.6459999999999582 (0.03%),0.07670000000001664 (0.03%),-0.0024000000000796717 (-0.0%),0.5692000000001372 (0.03%),0.012199999999999989 (0.06%),0.41200000000003456 (0.03%)
mainnet,ankrETH/wstETH,0.44459999999980937 (0.03%),0.010399999999997078 (0.03%),0.0003000000001520675 (0.0%),0.43410000000017135 (0.03%),0.008399999999999963 (0.06%),0.28350000000000364 (0.03%)
mainnet,80RDNT-20wETH,-1.8402999999998428 (-0.15%),0.0 (nan%),-2.037700000000086 (-0.18%),-1.840400000000045 (-0.15%),-0.015799999999998704 (-0.12%),-1.1859000000000606 (-0.15%)
mainnet,rsETH / ETHx,0.3653999999999087 (0.03%),0.0 (nan%),0.0027000000000043656 (0.0%),0.3652999999999338 (0.03%),0.006899999999999906 (0.06%),0.23299999999994725 (0.03%)
mainnet,qETH/WETH,0.34229999999979555 (0.03%),0.0 (nan%),-0.0007999999999128704 (-0.0%),0.34229999999979555 (0.03%),0.0064000000000010715 (0.06%),0.21829999999999927 (0.03%)
mainnet,trenSTETH,0.3455999999998767 (0.03%),0.0 (nan%),0.004900000000020555 (0.0%),0.34569999999985157 (0.03%),0.006399999999999295 (0.06%),0.22040000000004056 (0.03%)
mainnet,sDAI/3Pool,0.18850000000009004 (0.03%),0.18860000000006494 (0.03%),-0.0018000000000029104 (-0.0%),0.0 (nan%),0.0034999999999998366 (0.06%),0.12020000000001119 (0.03%)
mainnet,ECLP-GYD-sDAI,0.2807999999999993 (0.05%),0.28089999999997417 (0.05%),0.09269999999997935 (0.02%),0.0 (nan%),0.004300000000000637 (0.07%),0.17980000000000018 (0.05%)
mainnet,sDOLA-DOLA BSP,0.17439999999999145 (0.03%),0.17430000000001655 (0.03%),0.0011999999999829924 (0.0%),0.0 (nan%),0.0032999999999994145 (0.06%),0.11119999999999663 (0.03%)
mainnet,ECLP-wstETH-wETH,0.0 (nan%),0.0 (nan%),-0.052700000000015734 (-0.01%),0.0 (nan%),-0.08519999999998618 (0.02%),0.055399999999963256 (0.02%)
