pool_id,chain,symbol,bpt_price,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit
0xcd78a20c597e367a4e478a2411ceb790604d7c8f000000000000000000000c22,polygon,maticX-WMATIC-BPT,0.3768,2352.9890,3367.7058,1813.3800,5422.3273,3648.4790,1773.8482,241.2415,0,1731290432
0xf0ad209e2e969eaaa8c882aac71f02d8a047d5c2000200000000000000000b49,polygon,ECLP-WMATIC-stMATIC,0.3837,109.5598,156.8070,84.4345,0.0000,0.0000,0.0000,-241.2415,0,1731275368
0x596192bb6e41802428ac943d2f1476c1af25cc0e000000000000000000000659,mainnet,ezETH-WETH-BPT,2611.4472,21050.5885,14842.3793,7992.0504,23074.0826,15935.4232,7138.6594,239.6529,0,1731283043
0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd0000000000000000000005c2,mainnet,wstETH-WETH-BPT,2653.5814,14535.7448,10248.8840,5518.6298,15932.9977,11130.4571,4802.5406,165.4839,0,1731100043
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,mainnet,B-rETH-STABLE,2662.9357,8462.6029,5966.8242,3212.9054,9276.0731,0.0000,9276.0731,96.3435,0,1730957111
0x36be1e97ea98ab43b4debf92742517266f5731a3000200000000000000000466,mainnet,50wstETH-50ACX,29.8946,7305.4424,5150.9319,2773.5787,8007.6802,5797.8106,2209.8696,83.1697,0,1731124775
0x848a5564158d84b8a8fb68ab5d004fae11619a5400000000000000000000066a,mainnet,weETH/ezETH/rswETH,2615.3627,6858.1758,4835.5725,2603.7698,7517.4200,5467.9331,2049.4869,78.0777,0,1731204911
0x8353157092ed8be69a9df8f95af097bbf33cb2af0000000000000000000005d9,mainnet,GHO/USDT/USDC,1.0115,6828.4165,4814.5898,2592.4714,7484.8001,5445.9844,2038.8157,77.7389,0,1731297659
0x05ff47afada98a98982113758878f9a8b9fdda0a000000000000000000000645,mainnet,weETH/rETH,2621.4709,5178.0809,3650.9687,1965.9062,5675.8255,4228.7937,1447.0317,58.9505,0,1731241895
0xf16aee6a71af1a9bc8f56975a4c2705ca7a782bc0002000000000000000004bb,mainnet,20WETH-80ALCX,35.6701,4275.8594,3014.8291,1623.3695,4686.8776,3563.3681,1123.5095,48.6790,0,1730714759
0x63e0d47a6964ad1565345da9bfa66659f4983f02000000000000000000000681,mainnet,pufETH/wstETH,2587.8675,3549.7275,2502.8470,1347.6868,3890.9461,3027.8159,863.1302,40.4123,0,1731206219
0x42ed016f826165c2e5976fe5bc3df540c5ad0af700000000000000000000058b,mainnet,wstETH-rETH-sfrxETH-BPT,2635.6461,2998.6524,2114.2942,1138.4661,3286.8988,2621.3753,665.5235,34.1385,0,1728839423
0x9f9d900462492d4c21e9523ca95a7cd86142f298000200000000000000000462,mainnet,50rETH-50RPL,179.4183,2504.0344,1765.5482,950.6798,2744.7355,2256.5741,488.1614,28.5075,0,1730677091
0xb819feef8f0fcdc268afe14162983a69f6bf179e000000000000000000000689,mainnet,sUSDe/USDC,1.0539,2277.1645,1605.5864,864.5465,2496.0576,2089.2481,406.8094,25.9246,0,1731165671
0x3ff3a210e57cfe679d9ad1e9ba6453a716c56a2e0002000000000000000005d5,mainnet,STG/USDC,0.5606,1919.2413,1353.2214,728.6577,2103.7290,1825.2650,278.4639,21.8498,0,1730714699
0xb91159aa527d4769cb9faf3e4adb760c7e8c8ea700000000000000000000067c,mainnet,ETHx/wstETH,2601.2103,1836.2676,1294.7182,697.1560,2012.7794,1764.0685,248.7109,20.9052,0,1731141095
0xdfe6e7e18f6cc65fa13c8d8966013d4fda74b6ba000000000000000000000558,mainnet,ankrETH/wstETH,2636.4419,1257.6103,886.7177,477.4634,1378.4985,1337.2849,41.2136,14.3174,0,1731245687
