pool_id,chain,symbol,bpt_price,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit
0xcd78a20c597e367a4e478a2411ceb790604d7c8f000000000000000000000c22,polygon,maticX-WMATIC-BPT,0.3296,2173.9872,2829.3684,1523.5061,4567.3282,3090.3650,1476.9632,214.4537,0,1731336050
0xf0ad209e2e969eaaa8c882aac71f02d8a047d5c2000200000000000000000b49,polygon,ECLP-WMATIC-stMATIC,0.3355,107.1062,139.3949,75.0588,0.0000,0.0000,0.0000,-214.4537,0,1731335020
0x596192bb6e41802428ac943d2f1476c1af25cc0e000000000000000000000659,mainnet,ezETH-WETH-BPT,2570.9160,14862.4528,10049.9623,5411.5182,15815.5445,11447.8906,4367.6539,354.0640,0,1731283043
0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd0000000000000000000005c2,mainnet,wstETH-WETH-BPT,2609.9860,14826.5870,10025.7100,5398.4592,15777.3788,11422.0667,4355.3120,353.2096,0,1731318539
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,mainnet,B-rETH-STABLE,2617.4580,14230.3186,9622.5144,5181.3539,15142.8732,0.0000,15142.8732,339.0049,0,1730957111
0x36be1e97ea98ab43b4debf92742517266f5731a3000200000000000000000466,mainnet,50wstETH-50ACX,32.5145,7655.0961,5176.3614,2787.2715,8145.9981,6258.4895,1887.5086,182.3652,0,1731124775
0x05ff47afada98a98982113758878f9a8b9fdda0a000000000000000000000645,mainnet,weETH/rETH,2577.2403,7478.9617,5057.2597,2723.1398,7958.5687,6131.6702,1826.8985,178.1692,0,1731241895
0x42ed016f826165c2e5976fe5bc3df540c5ad0af700000000000000000000058b,mainnet,wstETH-rETH-sfrxETH-BPT,2591.5549,4237.7708,2865.5726,1543.0006,4509.5284,3797.9659,711.5625,100.9552,0,1728839423
0xb819feef8f0fcdc268afe14162983a69f6bf179e000000000000000000000689,mainnet,sUSDe/USDC,1.0571,4106.9029,2777.0799,1495.3507,4370.2683,3703.7391,666.5292,97.8376,0,1731165671
0x63e0d47a6964ad1565345da9bfa66659f4983f02000000000000000000000681,mainnet,pufETH/wstETH,2552.3825,3775.2495,2552.8165,1374.5935,4017.3467,3464.9438,552.4029,89.9367,0,1731206219
0x848a5564158d84b8a8fb68ab5d004fae11619a5400000000000000000000066a,mainnet,weETH/ezETH/rswETH,2573.5442,3677.2301,2486.5360,1338.9040,3913.0416,3394.3685,518.6731,87.6016,0,1731204911
0x8353157092ed8be69a9df8f95af097bbf33cb2af0000000000000000000005d9,mainnet,GHO/USDT/USDC,1.0112,3562.9329,2409.2484,1297.2876,3791.4148,3312.0728,479.3420,84.8787,0,1731326987
0x9f9d900462492d4c21e9523ca95a7cd86142f298000200000000000000000462,mainnet,50rETH-50RPL,170.0642,1881.1135,1272.0054,684.9260,2001.7446,2001.7446,0.0000,44.8132,0,1730677091
0xcf7b51ce5755513d4be016b0e28d6edeffa1d52a000200000000000000000617,mainnet,80RDNT-20wETH,0.3573,1787.7663,1208.8842,650.9376,1902.4113,1902.4113,0.0000,42.5895,0,1731228755
0x3ff3a210e57cfe679d9ad1e9ba6453a716c56a2e0002000000000000000005d5,mainnet,STG/USDC,0.5299,1476.6093,998.4804,537.6433,1571.3005,1571.3005,0.0000,35.1768,0,1730714699
0x264062ca46a1322c2e6464471764089e01f22f1900000000000000000000066b,mainnet,sDOLA-DOLA BSP,1.0061,1193.8209,807.2594,434.6782,1270.3776,1270.3776,0.0000,28.4401,0,1730760167
0xdfe6e7e18f6cc65fa13c8d8966013d4fda74b6ba000000000000000000000558,mainnet,ankrETH/wstETH,2593.3170,882.7351,596.9038,321.4097,939.3427,939.3427,0.0000,21.0291,0,1731245687
0xb91159aa527d4769cb9faf3e4adb760c7e8c8ea700000000000000000000067c,mainnet,ETHx/wstETH,2559.8993,841.3830,568.9416,306.3532,895.3388,895.3388,0.0000,20.0440,0,1731141095
0xf16aee6a71af1a9bc8f56975a4c2705ca7a782bc0002000000000000000004bb,mainnet,20WETH-80ALCX,33.7804,706.6640,477.8449,257.3011,751.9806,0.0000,751.9806,16.8347,0,1730714759
0x740a691bd31c4176bcb6b8a7a40f1a723537d99d0000000000000000000006b6,mainnet,cdcETH/wstETH,2535.7885,619.1551,418.6715,225.4385,658.8600,0.0000,658.8600,14.7500,0,1730788847
0x49cbd67651fbabce12d1df18499896ec87bef46f00000000000000000000064a,mainnet,sDAI/3Pool,1.0247,480.1155,324.6532,174.8132,0.0000,0.0000,0.0000,-499.4664,0,1730788763
0xf01b0684c98cd7ada480bfdf6e43876422fa1fc10002000000000000000005de,mainnet,ECLP-wstETH-wETH,2588.4962,447.0222,302.2756,162.7638,0.0000,0.0000,0.0000,-465.0393,0,1731216095
0xdd59f89b5b07b7844d72996fc9d83d81acc8219600000000000000000000059e,mainnet,uniETH-WETH,2548.0395,330.6856,223.6090,120.4048,0.0000,0.0000,0.0000,-344.0138,0,1730788403
0x4216d5900a6109bba48418b5e2ab6cc4e61cf4770000000000000000000006a1,mainnet,trenSTETH,2518.4085,212.3220,143.5718,77.3079,0.0000,0.0000,0.0000,-220.8796,0,1730155499
0x8d93b853849b9884e2bb413444ec23eb5366ee910002000000000000000006b3,mainnet,ECLP-sUSDe-GYD,1.0151,142.2291,96.1750,51.7866,0.0000,0.0000,0.0000,-147.9616,0,1731212603
0xe7e2c68d3b13d905bbb636709cf4dfd21076b9d20000000000000000000005ca,mainnet,swETH-WETH-BPT,2591.7991,138.1140,93.3924,50.2882,0.0000,0.0000,0.0000,-143.6806,0,1731147443
0x1cce5169bde03f3d5ad0206f6bd057953539dae600020000000000000000062b,mainnet,ECLP-GYD-sDAI,1.0182,96.6781,65.3735,35.2011,0.0000,0.0000,0.0000,-100.5747,0,1731037487
0x7761b6e0daa04e70637d81f1da7d186c205c2ade00000000000000000000065d,mainnet,rsETH / ETHx,2571.9165,73.9027,49.9729,26.9085,0.0000,0.0000,0.0000,-76.8813,0,1729913471
0xb757ddbc72155c0a41058e148969ba29ba071a2e0000000000000000000006ce,mainnet,balETH/wstETH,2609.0428,57.9981,39.2182,21.1175,0.0000,0.0000,0.0000,-60.3357,0,1731108263
0xc8cf54b0b70899ea846b70361e62f3f5b22b1f4b0002000000000000000006c7,mainnet,ECLP-wstETH-GYD,2497.2959,31.5936,21.3636,11.5035,0.0000,0.0000,0.0000,-32.8670,0,1730801711
0x40c806394d03d350420d13cd7d1de1c806f349560000000000000000000005f5,mainnet,qETH/WETH,2549.4621,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1728717947
0x8296057edb832feac03269e9fce8304ebcbabcaf00000000000000000000069c,mainnet,B-baoETH-wstETH-BPT,2563.7210,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1731040871
0xb3b675a9a3cb0df8f66caf08549371bfb76a9867000200000000000000000611,mainnet,ECLP-mevETH-wETH,2615.3478,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1719912467
0xbad20c15a773bf03ab973302f61fabcea5101f0a000000000000000000000034,gnosis,bb-WETH-wstETH,2563.9178,4495.8592,14152.5216,7620.5886,21773.1102,14732.2144,7040.8958,0.0000,0,1731192510
0xc771c1a5905420daec317b154eb13e4198ba97d0000000000000000000000023,base,rETH-WETH-BPT,2563.3117,937.4364,1018.3775,548.3571,2076.8079,1405.2186,671.5893,510.0733,0,1731318143
0xab99a3e856deb448ed99713dfce62f937e2d4d74000000000000000000000118,base,weETH/wETH,2564.4251,295.7653,321.3026,173.0091,0.0000,0.0000,0.0000,-494.3117,0,1731290803
0x0c659734f1eef9c63b7ebdf78a164cdd745586db000000000000000000000046,base,USDC/USDbC/axlUSDC,1.0570,9.4307,10.2450,5.5165,0.0000,0.0000,0.0000,-15.7616,0,1731311643
0xfd2620c9cfcec7d152467633b3b0ca338d3d78cc00000000000000000000001c,avalanche,sAVAX-WAVAX-BPT,26.0859,2642.3227,778.2625,419.0644,1273.2450,861.5084,411.7365,75.9180,0,1731334652
0xc13546b97b9b1b15372368dc06529d7191081f5b00000000000000000000001d,avalanche,ggAVAX-WAVAX-BPT,25.8895,167.5397,49.3467,26.5713,0.0000,0.0000,0.0000,-75.9180,0,1731336206
0x32df62dc3aed2cd6224193052ce665dc181658410002000000000000000003bd,arbitrum,RDNT-WETH,0.3665,6876.7396,2743.6140,1477.3306,5268.3674,4342.8272,925.5402,1047.4228,0,1731335438
0xcdcef9765d369954a4a936064535710f7235110a000200000000000000000558,arbitrum,ECLP-weETH-wstETH,2550.1668,3838.4156,1531.4133,824.6072,2940.6644,2767.8469,172.8175,584.6439,0,1731328059
0xc2598280bfea1fe18dfcabd21c7165c40c6859d30000000000000000000004f3,arbitrum,wstETH/sfrxETH,2559.2466,2201.1244,878.1830,472.8678,1686.3125,1686.3125,0.0000,335.2618,0,1731261075
0xb61371ab661b1acec81c699854d2f911070c059e000000000000000000000516,arbitrum,ezETH/wstETH,2589.1738,1448.9011,578.0683,311.2675,1110.0236,1110.0236,0.0000,220.6877,0,1731333663
0xd0ec47c54ca5e20aaae4616c25c825c7f48d40690000000000000000000004ef,arbitrum,rETH/wETH BPT,2543.5227,1427.4204,569.4982,306.6529,1093.5669,0.0000,1093.5669,217.4159,0,1731326459
0x7967fa58b9501600d96bd843173b9334983ee6e600020000000000000000056e,arbitrum,ECLP-wstETH-WETH,2536.9472,1301.1109,519.1044,279.5178,996.7994,0.0000,996.7994,198.1772,0,1731283858
0x9791d590788598535278552eecd4b211bfc790cb000000000000000000000498,arbitrum,wstETH-WETH-BPT,2573.9945,1233.7567,492.2321,265.0481,945.1984,0.0000,945.1984,187.9182,0,1731339444
0x2ce4457acac29da4736ae6f5cd9f583a6b335c270000000000000000000004dc,arbitrum,sFRAX/4POOL,1.0217,1189.0940,474.4130,255.4532,910.9817,0.0000,910.9817,181.1155,0,1731327496
0x2d6ced12420a9af5a83765a8c48be2afcd1a8feb000000000000000000000500,arbitrum,cbETH/rETH/wstETH,2557.3922,852.9772,340.3125,183.2452,653.4779,0.0000,653.4779,129.9202,0,1731307354
0x38161e9efb8de52d00a1eb0f773223fd28fdd7c20002000000000000000005a0,arbitrum,ECLP-GHO-USDe-rh,1.0012,723.0391,288.4710,155.3306,0.0000,0.0000,0.0000,-443.8016,0,1731333284
0x7b54c44fbe6db6d97fd22b8756f89c0af16202cc00000000000000000000053c,arbitrum,ETHx/wstETH,2541.6013,642.2807,256.2508,137.9812,0.0000,0.0000,0.0000,-394.2321,0,1731305553
0x90e6cb5249f5e1572afbf8a96d8a1ca6acffd73900000000000000000000055c,arbitrum,rsETH/wETH,2540.6475,628.8294,250.8842,135.0915,0.0000,0.0000,0.0000,-385.9757,0,1731330020
0x423a1323c871abc9d89eb06855bf5347048fc4a5000000000000000000000496,arbitrum,4POOL,1.0117,556.8011,222.1470,119.6176,0.0000,0.0000,0.0000,-341.7646,0,1731329236
0xf13758d6edd1937dcb3f4fe75889b579d400299a000000000000000000000595,arbitrum,weETH/wETH,2536.2239,446.2251,178.0305,95.8626,0.0000,0.0000,0.0000,-273.8931,0,1730667391
0x3fd4954a851ead144c2ff72b1f5a38ea5976bd54000000000000000000000480,arbitrum,ankrETH/wstETH-BPT,2578.0410,422.9192,168.7322,90.8558,0.0000,0.0000,0.0000,-259.5879,0,1731299185
0x59743f1812bb85db83e9e4ee061d124aaa64290000000000000000000000052b,arbitrum,sUSDe/sFRAX,1.0300,351.0736,140.0679,75.4212,0.0000,0.0000,0.0000,-215.4891,0,1731321199
0x125bc5a031b2db6733bfa35d914ffa428095978b000200000000000000000514,arbitrum,ECLP-AUSDC-AUSDT,1.0360,316.1884,126.1498,67.9268,0.0000,0.0000,0.0000,-194.0765,0,1731292118
0xa899c63ba9ff275d6bfc83e43ee8e58ff6987584000200000000000000000594,arbitrum,ECLP-rETH-wstETH,2533.2408,218.5091,87.1786,46.9423,0.0000,0.0000,0.0000,-134.1209,0,1731324198
0x8d58755ca11d2c7273fed72aeb637e38a66c228c00000000000000000000058c,arbitrum,sUSX/USDC,1.0039,171.0883,68.2591,36.7549,0.0000,0.0000,0.0000,-105.0140,0,1731162141
0xef0c116a2818a5b1a5d836a291856a321f43c2fb00020000000000000000053a,arbitrum,ECLP-WOETH-WETH,2546.6253,170.3792,67.9762,36.6026,0.0000,0.0000,0.0000,-104.5788,0,1731327046
0xdfa752ca3ff49d4b6dbe08e2d5a111f51773d3950000000000000000000004e8,arbitrum,sFRAX/FRAX,1.0130,104.0236,41.5023,22.3474,0.0000,0.0000,0.0000,-63.8497,0,1731320944
