pool_id,chain,symbol,bpt_price,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit
0xcd78a20c597e367a4e478a2411ceb790604d7c8f000000000000000000000c22,polygon,maticX-WMATIC-BPT,0.4043,3286.1393,4605.5538,2479.9136,7405.8701,5046.3103,2359.5598,320.4027,0,1733014117
0xf0ad209e2e969eaaa8c882aac71f02d8a047d5c2000200000000000000000b49,polygon,ECLP-WMATIC-stMATIC,0.4100,145.3838,203.7567,109.7151,0.0000,0.0000,0.0000,-313.4718,0,1733001219
0xa8cbbffe0d62797afaf7af0a23810bd5ba39a4dd000200000000000000000f04,polygon,ECLP-GYD-AUSDT,1.0030,3.2145,4.5051,2.4258,0.0000,0.0000,0.0000,-6.9309,0,1732951614
0x596192bb6e41802428ac943d2f1476c1af25cc0e000000000000000000000659,mainnet,ezETH-WETH-BPT,3164.4727,23761.3738,20465.2265,11019.7373,31637.5532,22274.3578,9363.1954,152.5893,0,1732854875
0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd0000000000000000000005c2,mainnet,wstETH-WETH-BPT,3218.3552,20490.3767,17647.9778,9502.7573,27282.3190,19306.7304,7975.5886,131.5838,0,1732874387
0x36be1e97ea98ab43b4debf92742517266f5731a3000200000000000000000466,mainnet,50wstETH-50ACX,39.2532,17536.9868,15104.2784,8133.0730,23349.9694,16627.2537,6722.7157,112.6179,0,1732793735
0x3ff3a210e57cfe679d9ad1e9ba6453a716c56a2e0002000000000000000005d5,mainnet,STG/USDC,0.5799,16779.7155,14452.0549,7781.8757,22341.6855,15940.2158,6401.4697,107.7550,0,1731893147
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,mainnet,B-rETH-STABLE,3221.7770,13430.1834,11567.1655,6228.4737,17881.8844,0.0000,17881.8844,86.2451,0,1732963019
0x05ff47afada98a98982113758878f9a8b9fdda0a000000000000000000000645,mainnet,weETH/rETH,3172.5702,11381.1663,9802.3855,5278.2076,15153.6799,11042.3570,4111.3229,73.0869,0,1732913843
0x8353157092ed8be69a9df8f95af097bbf33cb2af0000000000000000000005d9,mainnet,GHO/USDT/USDC,1.0095,10338.6660,8904.4995,4794.7305,13765.6222,10096.5437,3669.0785,66.3922,0,1732993271
0xb819feef8f0fcdc268afe14162983a69f6bf179e000000000000000000000689,mainnet,sUSDe/USDC,1.0601,6753.7360,5816.8664,3132.1588,8992.3960,6844.0994,2148.2966,43.3707,0,1732703807
0x63e0d47a6964ad1565345da9bfa66659f4983f02000000000000000000000681,mainnet,pufETH/wstETH,3141.6568,5703.9399,4912.6966,2645.2982,7594.6240,5891.6669,1702.9571,36.6292,0,1732881983
0x848a5564158d84b8a8fb68ab5d004fae11619a5400000000000000000000066a,mainnet,weETH/ezETH/rswETH,3167.0123,5644.7635,4861.7292,2617.8542,7515.8325,5837.9789,1677.8536,36.2492,0,1733013095
0x42ed016f826165c2e5976fe5bc3df540c5ad0af700000000000000000000058b,mainnet,wstETH-rETH-sfrxETH-BPT,3191.1929,5126.0824,4414.9988,2377.3071,6825.2243,5367.4031,1457.8212,32.9184,0,1732664795
0x9f9d900462492d4c21e9523ca95a7cd86142f298000200000000000000000462,mainnet,50rETH-50RPL,191.8849,4235.0719,3647.5881,1964.0859,5638.8706,4559.0296,1079.8410,27.1965,0,1732948799
0xf16aee6a71af1a9bc8f56975a4c2705ca7a782bc0002000000000000000004bb,mainnet,20WETH-80ALCX,43.7859,3159.6959,2721.3869,1465.3622,4207.0399,3583.3897,623.6501,20.2907,0,1732493447
0xcf7b51ce5755513d4be016b0e28d6edeffa1d52a000200000000000000000617,mainnet,80RDNT-20wETH,0.4353,2795.3453,2407.5786,1296.3885,3721.9180,3252.8310,469.0870,17.9510,0,1732963979
0x7761b6e0daa04e70637d81f1da7d186c205c2ade00000000000000000000065d,mainnet,rsETH / ETHx,3169.5396,1701.4782,1465.4513,789.0892,2265.4670,2265.4670,0.0000,10.9264,0,1732898183
0x41fdbea2e52790c0a1dc374f07b628741f2e062d0002000000000000000006be,mainnet,ECLP-stdeUSD-deUSD,0.9994,1254.3284,1080.3296,581.7159,1670.1005,1670.1005,0.0000,8.0550,0,1732972151
0xdfe6e7e18f6cc65fa13c8d8966013d4fda74b6ba000000000000000000000558,mainnet,ankrETH/wstETH,3187.1873,1226.8998,1056.7058,568.9954,1633.5801,1633.5801,0.0000,7.8788,0,1732636031
0xb91159aa527d4769cb9faf3e4adb760c7e8c8ea700000000000000000000067c,mainnet,ETHx/wstETH,3153.2451,1082.0825,931.9774,501.8340,1440.7603,1440.7603,0.0000,6.9489,0,1732815071
0xf01b0684c98cd7ada480bfdf6e43876422fa1fc10002000000000000000005de,mainnet,ECLP-wstETH-wETH,3189.8470,322.9856,278.1815,149.7900,0.0000,0.0000,0.0000,-427.9715,0,1732571795
0x1cce5169bde03f3d5ad0206f6bd057953539dae600020000000000000000062b,mainnet,ECLP-GYD-sDAI,1.0188,137.2288,118.1926,63.6421,0.0000,0.0000,0.0000,-181.8347,0,1732933559
0x8d93b853849b9884e2bb413444ec23eb5366ee910002000000000000000006b3,mainnet,ECLP-sUSDe-GYD,1.0165,94.8098,81.6579,43.9696,0.0000,0.0000,0.0000,-125.6275,0,1732099751
0xe7e2c68d3b13d905bbb636709cf4dfd21076b9d20000000000000000000005ca,mainnet,swETH-WETH-BPT,3190.4495,94.2224,81.1520,43.6972,0.0000,0.0000,0.0000,-124.8492,0,1731947075
0x1d13531bf6344c102280ce4c458781fbf14dad140000000000000000000006df,mainnet,tETH/wstETH,3680.2385,57.4297,49.4631,26.6340,0.0000,0.0000,0.0000,-76.0971,0,1732953575
0xabc7d08ef73fe3fb67efd900f4471cca788b089900000000000000000000069d,mainnet,B-baoETH-rETH-BPT,3066.4312,30.5355,26.2996,14.1613,0.0000,0.0000,0.0000,-40.4610,0,1732585295
0xc683955059e98350de4e5dc1c75971bd640829bb0002000000000000000006e1,mainnet,ECLP-cbETH-wstETH,3101.3771,1.3918,1.1987,0.6455,0.0000,0.0000,0.0000,-1.8442,0,1732920887
0x40c806394d03d350420d13cd7d1de1c806f349560000000000000000000005f5,mainnet,qETH/WETH,2823.1998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1728717947
0x4216d5900a6109bba48418b5e2ab6cc4e61cf4770000000000000000000006a1,mainnet,trenSTETH,3074.1719,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1732431719
0x49cbd67651fbabce12d1df18499896ec87bef46f00000000000000000000064a,mainnet,sDAI/3Pool,1.0258,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1730788763
0x5f1f4e50ba51d723f12385a8a9606afc3a0555f5000200000000000000000465,mainnet,50wstETH-50LDO,66.9344,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1732726223
0x740a691bd31c4176bcb6b8a7a40f1a723537d99d0000000000000000000006b6,mainnet,cdcETH/wstETH,3123.2576,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1730788847
0xdd59f89b5b07b7844d72996fc9d83d81acc8219600000000000000000000059e,mainnet,uniETH-WETH,3140.5112,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1730788403
0xbad20c15a773bf03ab973302f61fabcea5101f0a000000000000000000000034,gnosis,bb-WETH-wstETH,3159.1049,6675.9090,23797.5158,12814.0470,36611.5628,24946.8737,11664.6891,0.0000,0,1732988460
0xc771c1a5905420daec317b154eb13e4198ba97d0000000000000000000000023,base,rETH-WETH-BPT,3155.4021,1883.4561,2601.8367,1400.9890,4487.0932,3057.4753,1429.6180,484.2676,0,1733003061
0xab99a3e856deb448ed99713dfce62f937e2d4d74000000000000000000000118,base,weETH/wETH,3161.5356,210.0499,290.1664,156.2434,0.0000,0.0000,0.0000,-446.4098,0,1732979111
0x0c659734f1eef9c63b7ebdf78a164cdd745586db000000000000000000000046,base,USDC/USDbC/axlUSDC,1.0599,17.1776,23.7295,12.7774,0.0000,0.0000,0.0000,-36.5069,0,1732947121
0x54d86e177cdc664b5f9b17eb5fd6a76fa529e466000200000000000000000199,base,ECLP-cbETH-wstETH,3112.0019,0.5944,0.8211,0.4421,0.0000,0.0000,0.0000,-1.2633,0,1732767853
0x4c42b5057a8663e2b1ac21685d1502c937a0381700020000000000000000019c,base,ECLP-WETH-USDC,1.1646,0.0412,0.0570,0.0307,0.0000,0.0000,0.0000,-0.0876,0,1732981939
0xfd2620c9cfcec7d152467633b3b0ca338d3d78cc00000000000000000000001c,avalanche,sAVAX-WAVAX-BPT,33.4416,2294.3620,821.6924,442.4497,1499.1964,1021.5424,477.6540,235.0543,0,1733014917
0xc13546b97b9b1b15372368dc06529d7191081f5b00000000000000000000001d,avalanche,ggAVAX-WAVAX-BPT,33.3537,426.6131,152.7853,82.2690,0.0000,0.0000,0.0000,-235.0543,0,1733009221
0x32df62dc3aed2cd6224193052ce665dc181658410002000000000000000003bd,arbitrum,RDNT-WETH,0.4402,14279.9092,7514.6233,4046.3356,12470.6100,8753.8423,3716.7677,909.6510,0,1733014080
0xcdcef9765d369954a4a936064535710f7235110a000200000000000000000558,arbitrum,ECLP-weETH-wstETH,3142.9963,4079.4116,2146.7392,1155.9365,3562.5402,2683.9432,878.5970,259.8645,0,1732992363
0xc2598280bfea1fe18dfcabd21c7165c40c6859d30000000000000000000004f3,arbitrum,wstETH/sfrxETH,3153.4204,2077.5865,1093.3039,588.7021,1814.3513,1492.7390,321.6123,132.3453,0,1732902760
0xd0ec47c54ca5e20aaae4616c25c825c7f48d40690000000000000000000004ef,arbitrum,rETH/wETH BPT,3129.7510,1822.2501,958.9363,516.3503,1591.3666,1340.7987,250.5679,116.0800,0,1732960867
0xb61371ab661b1acec81c699854d2f911070c059e000000000000000000000516,arbitrum,ezETH/wstETH,3187.2545,1789.5215,941.7133,507.0764,1562.7848,1321.3232,241.4615,113.9951,0,1732996269
0x9791d590788598535278552eecd4b211bfc790cb000000000000000000000498,arbitrum,wstETH-WETH-BPT,3171.3930,1683.0860,885.7029,476.9170,1469.8349,1257.9878,211.8471,107.2150,0,1732887291
0xab297f94235de777b85024ed1208ff43852385d90000000000000000000005bb,arbitrum,wUSDL/GHO,0.9974,1612.2008,848.4005,456.8310,1407.9310,1215.8069,192.1241,102.6995,0,1732732263
0x7967fa58b9501600d96bd843173b9334983ee6e600020000000000000000056e,arbitrum,ECLP-wstETH-WETH,3125.3656,1135.5320,597.5595,321.7628,991.6573,991.6573,0.0000,72.3350,0,1732975867
0x2ce4457acac29da4736ae6f5cd9f583a6b335c270000000000000000000004dc,arbitrum,sFRAX/4POOL,1.0252,1069.2648,562.6872,302.9854,933.7864,0.0000,933.7864,68.1137,0,1732833766
0x2d6ced12420a9af5a83765a8c48be2afcd1a8feb000000000000000000000500,arbitrum,cbETH/rETH/wstETH,3149.0279,946.2282,497.9408,268.1219,826.3388,0.0000,826.3388,60.2761,0,1732969460
