pool_id,chain,symbol,bpt_price,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit
0xcd78a20c597e367a4e478a2411ceb790604d7c8f000000000000000000000c22,polygon,maticX-WMATIC-BPT,0.6637,6044.0733,15993.2322,8611.7404,24636.4782,17296.8693,7339.6089,31.5057,0,1734552114
0xf0ad209e2e969eaaa8c882aac71f02d8a047d5c2000200000000000000000b49,polygon,ECLP-WMATIC-stMATIC,0.6762,174.4245,461.5449,248.5242,710.9783,0.0000,710.9783,0.9092,0,1734572415
0xa8cbbffe0d62797afaf7af0a23810bd5ba39a4dd000200000000000000000f04,polygon,ECLP-GYD-AUSDT,1.0049,7.9625,21.0697,11.3452,0.0000,0.0000,0.0000,-32.4149,0,1734377580
0x36be1e97ea98ab43b4debf92742517266f5731a3000200000000000000000466,mainnet,50wstETH-50ACX,63.5448,200295.6072,57063.5048,30726.5026,88185.5816,60647.2052,27538.3763,395.5742,0,1734506099
0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd0000000000000000000005c2,mainnet,wstETH-WETH-BPT,3996.0937,44656.5786,12722.5001,6850.5770,19661.2717,13886.8514,5774.4203,88.1946,0,1734532655
0x596192bb6e41802428ac943d2f1476c1af25cc0e000000000000000000000659,mainnet,ezETH-WETH-BPT,3930.1487,25317.4330,7212.8465,3883.8404,11146.6876,8076.5781,3070.1095,50.0007,0,1734573659
0x41fdbea2e52790c0a1dc374f07b628741f2e062d0002000000000000000006be,mainnet,ECLP-stdeUSD-deUSD,1.0044,14665.3495,4178.1058,2249.7493,6456.8184,4876.2549,1580.5636,28.9634,0,1734562463
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,mainnet,B-rETH-STABLE,4000.7768,11188.3296,3187.5152,1716.3544,4925.9660,0.0000,4925.9660,22.0964,0,1734519131
0x8353157092ed8be69a9df8f95af097bbf33cb2af0000000000000000000005d9,mainnet,GHO/USDT/USDC,1.0120,8492.9582,2419.6135,1302.8688,3739.2555,3021.8151,717.4404,16.7732,0,1734469427
0x05ff47afada98a98982113758878f9a8b9fdda0a000000000000000000000645,mainnet,weETH/rETH,3942.1072,8185.8136,2332.1091,1255.7511,3604.0268,2929.5363,674.4905,16.1666,0,1734531695
0x3ff3a210e57cfe679d9ad1e9ba6453a716c56a2e0002000000000000000005d5,mainnet,STG/USDC,0.6414,8054.7369,2294.7658,1235.6431,3546.3167,2890.1555,656.1613,15.9077,0,1734419075
0xb819feef8f0fcdc268afe14162983a69f6bf179e000000000000000000000689,mainnet,sUSDe/USDC,1.0636,7437.9769,2119.0531,1141.0286,3274.7714,2704.8554,569.9159,14.6896,0,1734420875
