pool_id,chain,symbol,bpt_price,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit
0xab99a3e856deb448ed99713dfce62f937e2d4d74000000000000000000000118,base,weETH/wETH,3570.9780,333.9295,194.7913,104.8876,0.0000,0.0000,0.0000,-299.6789,0,1734358697
0x54d86e177cdc664b5f9b17eb5fd6a76fa529e466000200000000000000000199,base,ECLP-cbETH-wstETH,3517.1079,22.0707,12.8745,6.9324,0.0000,0.0000,0.0000,-19.8069,0,1734481407
0x0c659734f1eef9c63b7ebdf78a164cdd745586db000000000000000000000046,base,USDC/USDbC/axlUSDC,1.0612,12.6790,7.3960,3.9825,0.0000,0.0000,0.0000,-11.3785,0,1734411505
0xfd2620c9cfcec7d152467633b3b0ca338d3d78cc00000000000000000000001c,avalanche,sAVAX-WAVAX-BPT,44.9595,3251.5245,2907.1876,1565.4087,4472.5963,3393.9008,1078.6955,0.0000,0,1734417845
0xc13546b97b9b1b15372368dc06529d7191081f5b00000000000000000000001d,avalanche,ggAVAX-WAVAX-BPT,44.8489,381.5138,341.1114,183.6754,524.7868,0.0000,524.7868,0.0000,0,1734458887
0x32df62dc3aed2cd6224193052ce665dc181658410002000000000000000003bd,arbitrum,RDNT-WETH,0.5538,18667.8760,8415.3412,4531.3376,14162.5984,10004.4548,4158.1435,1215.9196,0,1734482395
0xcdcef9765d369954a4a936064535710f7235110a000200000000000000000558,arbitrum,ECLP-weETH-wstETH,3549.5503,3657.8031,1648.9107,887.8750,2775.0343,2270.7545,504.2798,238.2486,0,1734456114
0xb61371ab661b1acec81c699854d2f911070c059e000000000000000000000516,arbitrum,ezETH/wstETH,3601.0695,3092.1358,1393.9121,750.5680,2345.8843,1979.3034,366.5809,201.4042,0,1734485820
0xd0ec47c54ca5e20aaae4616c25c825c7f48d40690000000000000000000004ef,arbitrum,rETH/wETH BPT,3525.7453,2217.1745,999.4860,538.1848,1682.0849,1528.4936,153.5913,144.4142,0,1734444752
0x9791d590788598535278552eecd4b211bfc790cb000000000000000000000498,arbitrum,wstETH-WETH-BPT,3581.0089,1630.2771,734.9169,395.7245,1236.8285,1236.8285,0.0000,106.1870,0,1734476199
0xc2598280bfea1fe18dfcabd21c7165c40c6859d30000000000000000000004f3,arbitrum,wstETH/sfrxETH,3557.8497,1484.2690,669.0976,360.2833,1126.0577,1126.0577,0.0000,96.6769,0,1734322597
0xab297f94235de777b85024ed1208ff43852385d90000000000000000000005bb,arbitrum,wUSDL/GHO,0.9979,1247.2880,562.2683,302.7598,946.2694,0.0000,946.2694,81.2413,0,1733740103
0x2ce4457acac29da4736ae6f5cd9f583a6b335c270000000000000000000004dc,arbitrum,sFRAX/4POOL,1.0235,1176.8132,530.4988,285.6532,892.8029,0.0000,892.8029,76.6509,0,1734482532
0x7967fa58b9501600d96bd843173b9334983ee6e600020000000000000000056e,arbitrum,ECLP-wstETH-WETH,3528.0424,1106.5184,498.8103,268.5902,839.4729,0.0000,839.4729,72.0723,0,1734477562
0x2d6ced12420a9af5a83765a8c48be2afcd1a8feb000000000000000000000500,arbitrum,cbETH/rETH/wstETH,3548.7406,965.9371,435.4374,234.4663,732.8193,0.0000,732.8193,62.9157,0,1733802646
0x90e6cb5249f5e1572afbf8a96d8a1ca6acffd73900000000000000000000055c,arbitrum,rsETH/wETH,3535.6464,687.8618,310.0830,166.9678,0.0000,0.0000,0.0000,-477.0508,0,1734472880
0xf13758d6edd1937dcb3f4fe75889b579d400299a000000000000000000000595,arbitrum,weETH/wETH,3529.5498,675.3719,304.4527,163.9361,0.0000,0.0000,0.0000,-468.3888,0,1734380055
0x3fd4954a851ead144c2ff72b1f5a38ea5976bd54000000000000000000000480,arbitrum,ankrETH/wstETH-BPT,3583.9711,529.7847,238.8230,128.5970,0.0000,0.0000,0.0000,-367.4200,0,1733927103
0x7b54c44fbe6db6d97fd22b8756f89c0af16202cc00000000000000000000053c,arbitrum,ETHx/wstETH,3521.8737,419.3392,189.0350,101.7881,0.0000,0.0000,0.0000,-290.8231,0,1734356885
0x423a1323c871abc9d89eb06855bf5347048fc4a5000000000000000000000496,arbitrum,4POOL,1.0150,366.2414,165.0989,88.8994,0.0000,0.0000,0.0000,-253.9984,0,1733875394
0xef0c116a2818a5b1a5d836a291856a321f43c2fb00020000000000000000053a,arbitrum,ECLP-WOETH-WETH,3546.3442,154.6311,69.7066,37.5343,0.0000,0.0000,0.0000,-107.2409,0,1734432057
0x125bc5a031b2db6733bfa35d914ffa428095978b000200000000000000000514,arbitrum,ECLP-AUSDC-AUSDT,1.0431,129.0812,58.1888,31.3325,0.0000,0.0000,0.0000,-89.5213,0,1734425002
0x38161e9efb8de52d00a1eb0f773223fd28fdd7c20002000000000000000005a0,arbitrum,ECLP-GHO-USDe-rh,1.0046,122.7316,55.3265,29.7912,0.0000,0.0000,0.0000,-85.1177,0,1734405018
0x6e822c64c00393b2078f2a5bb75c575ab505b55c000200000000000000000548,arbitrum,ECLP-GYD-AUSDC,1.0144,66.3647,29.9167,16.1090,0.0000,0.0000,0.0000,-46.0258,0,1734462655
0x46472cba35e6800012aa9fcc7939ff07478c473e00020000000000000000056c,arbitrum,ECLP-GHO-AUSDC,1.0112,54.7935,24.7005,13.3003,0.0000,0.0000,0.0000,-38.0008,0,1734455678
0x7272163a931dac5bbe1cb5fefaf959bb65f7346f000200000000000000000549,arbitrum,ECLP-GYD-AUSDT,1.0144,42.3820,19.1055,10.2876,0.0000,0.0000,0.0000,-29.3931,0,1734432796
0xa899c63ba9ff275d6bfc83e43ee8e58ff6987584000200000000000000000594,arbitrum,ECLP-rETH-wstETH,3510.5248,27.3267,12.3187,6.6331,0.0000,0.0000,0.0000,-18.9518,0,1733148325
0xdeeaf8b0a8cf26217261b813e085418c7dd8f1ee00020000000000000000058f,arbitrum,ECLP-sUSDe-GYD,1.0159,22.6521,10.2114,5.4984,0.0000,0.0000,0.0000,-15.7098,0,1734474088
0xca8ecd05a289b1fbc2e0eaec07360c4bfec07b6100020000000000000000051d,arbitrum,2CLP-AUSDC-USDC,1.0239,11.6627,5.2575,2.8310,0.0000,0.0000,0.0000,-8.0884,0,1734408636
0x8d58755ca11d2c7273fed72aeb637e38a66c228c00000000000000000000058c,arbitrum,sUSX/USDC,1.0462,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1732105215
